"Name","Category","SizeKB","LastModified","Functions","Classes","RelativePath","FullPath"
"build_armored_vehicle_classifier_dataset_v1.py","builders","3.32","7/9/2026 12:13:21 PM","get_images | clean_output | copy_images | main","","builders\build_armored_vehicle_classifier_dataset_v1.py","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\04_DATASET_ENGINEERING\builders\build_armored_vehicle_classifier_dataset_v1.py"
"build_artillery_launcher_classifier_dataset_v1.py","builders","3.85","7/9/2026 4:05:54 PM","get_images | clean_output | copy_images_short_names | main","","builders\build_artillery_launcher_classifier_dataset_v1.py","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\04_DATASET_ENGINEERING\builders\build_artillery_launcher_classifier_dataset_v1.py"
"build_tank_platform_classifier_dataset.py","builders","3.87","7/8/2026 4:11:55 PM","clean_output_folder | get_images | copy_images | main","","builders\build_tank_platform_classifier_dataset.py","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\04_DATASET_ENGINEERING\builders\build_tank_platform_classifier_dataset.py"
"build_tank_platform_classifier_dataset_v2_exact_focus.py","builders","4.28","7/8/2026 4:45:51 PM","clean_output_folder | get_images | copy_images | main","","builders\build_tank_platform_classifier_dataset_v2_exact_focus.py","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\04_DATASET_ENGINEERING\builders\build_tank_platform_classifier_dataset_v2_exact_focus.py"
"build_tank_type_classifier_dataset_v3.py","builders","3.78","7/9/2026 10:12:04 AM","clean_output_folder | get_images | copy_images | main","","builders\build_tank_type_classifier_dataset_v3.py","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\04_DATASET_ENGINEERING\builders\build_tank_type_classifier_dataset_v3.py"
"build_tank_type_classifier_dataset_v4_safe_unknown.py","builders","3.75","7/9/2026 11:18:32 AM","get_images | clean_output | copy_images | main","","builders\build_tank_type_classifier_dataset_v4_safe_unknown.py","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\04_DATASET_ENGINEERING\builders\build_tank_type_classifier_dataset_v4_safe_unknown.py"
"create_artillery_launcher_folders_v1.py","builders","0.66","7/9/2026 12:23:38 PM","main","","builders\create_artillery_launcher_folders_v1.py","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\04_DATASET_ENGINEERING\builders\create_artillery_launcher_folders_v1.py"
"clean_amad5_filenames.py","cleaners","3.2","7/3/2026 12:08:58 PM","long_path | safe_copy","","cleaners\clean_amad5_filenames.py","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\04_DATASET_ENGINEERING\cleaners\clean_amad5_filenames.py"
"clean_tank_dataset.py","cleaners","1.73","7/2/2026 11:03:00 AM","","","cleaners\clean_tank_dataset.py","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\04_DATASET_ENGINEERING\cleaners\clean_tank_dataset.py"
"select_useful_frames_v3.py","cleaners","1.87","7/1/2026 3:55:02 PM","","","cleaners\select_useful_frames_v3.py","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\04_DATASET_ENGINEERING\cleaners\select_useful_frames_v3.py"
"sort_artillery_images_v1.py","cleaners","3.98","7/9/2026 12:28:58 PM","unique_destination | resize_for_screen | main","","cleaners\sort_artillery_images_v1.py","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\04_DATASET_ENGINEERING\cleaners\sort_artillery_images_v1.py"
"sort_tank_platform_crops.py","cleaners","6.18","7/8/2026 11:40:53 AM","get_images | draw_text | make_display | safe_move | main","","cleaners\sort_tank_platform_crops.py","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\04_DATASET_ENGINEERING\cleaners\sort_tank_platform_crops.py"
"extract_frames_v3.py","importers","1.22","7/1/2026 3:52:49 PM","","","importers\extract_frames_v3.py","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\04_DATASET_ENGINEERING\importers\extract_frames_v3.py"
"extract_tank_platform_crops.py","importers","3.66","7/8/2026 11:27:16 AM","normalize_name | is_military_class | safe_crop | main","","importers\extract_tank_platform_crops.py","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\04_DATASET_ENGINEERING\importers\extract_tank_platform_crops.py"
"import_artillery_launcher_labeled_zips_v1.py","importers","8.67","7/9/2026 4:00:33 PM","normalize | parse_class_names | get_import_rules | unique_path | find_image_for_label | crop_yolo_box | inspect_and_import_zip | main","","importers\import_artillery_launcher_labeled_zips_v1.py","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\04_DATASET_ENGINEERING\importers\import_artillery_launcher_labeled_zips_v1.py"
"import_exact_tank_type_images.py","importers","5.9","7/8/2026 12:16:36 PM","file_md5 | get_existing_hashes | next_filename | validate_and_load_image | save_clean_jpg | main","","importers\import_exact_tank_type_images.py","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\04_DATASET_ENGINEERING\importers\import_exact_tank_type_images.py"
"import_roboflow_detection_to_platform_crops.py","importers","12.75","7/8/2026 4:06:19 PM","normalize_name | file_md5 | crop_md5 | get_existing_hashes | unzip_all | find_data_yaml | load_class_names | build_image_index | get_label_files | find_matching_image | yolo_to_xyxy | safe_crop | next_filename | main","","importers\import_roboflow_detection_to_platform_crops.py","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\04_DATASET_ENGINEERING\importers\import_roboflow_detection_to_platform_crops.py"
"audit_tank_platform_dataset.py","inspectors","3.32","7/8/2026 11:21:53 AM","count_images | get_status | main","","inspectors\audit_tank_platform_dataset.py","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\04_DATASET_ENGINEERING\inspectors\audit_tank_platform_dataset.py"
"dataset_inventory.py","inspectors","1.58","7/2/2026 11:46:21 AM","","","inspectors\dataset_inventory.py","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\04_DATASET_ENGINEERING\inspectors\dataset_inventory.py"
"inspect_all_artillery_zips.py","inspectors","5.03","7/9/2026 3:54:41 PM","parse_class_names | inspect_zip | main","","inspectors\inspect_all_artillery_zips.py","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\04_DATASET_ENGINEERING\inspectors\inspect_all_artillery_zips.py"
"inspect_artillery_keywords_in_zip.py","inspectors","3.99","7/9/2026 3:07:30 PM","parse_class_names | main","","inspectors\inspect_artillery_keywords_in_zip.py","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\04_DATASET_ENGINEERING\inspectors\inspect_artillery_keywords_in_zip.py"
"inspect_yolo_zip_classes.py","inspectors","4.61","7/9/2026 3:01:57 PM","parse_class_names | main","","inspectors\inspect_yolo_zip_classes.py","C:\Users\UAVlab\Desktop\UAV_AI_ROS2_CLEAN\04_DATASET_ENGINEERING\inspectors\inspect_yolo_zip_classes.py"
