"SHA256","DuplicateCount","FileNames","Paths"
"68E7C4783AFAAFDA823EE279EA48BAE7475824ED014DC75B30097ECE8275B5EC","2","amad5_aerial_v1.pt | best.pt","amad5_aerial_v1.pt | runs\detect\training_runs\amad5_aerial_yolov8s_v1\weights\best.pt"
"F7FDE262F0F20119EE77BC1F52DE115BAE27F5C99F4DD2E46AD83948623DEC36","2","armored_vehicle_classifier_v1.pt | best.pt","armored_vehicle_classifier_v1.pt | runs\classify\armored_vehicle_classifier_v1\weights\best.pt"
"9E1EE45FEEC45DA8876A0152C40E6FFEDCBC2EA5616F1264A23975BCAD53A9A3","2","artillery_launcher_classifier_v1.pt | best.pt","artillery_launcher_classifier_v1.pt | runs\classify\artillery_launcher_classifier_v1\weights\best.pt"
"AE9FEAC2A2737C6D1705CF2A25D5865CFE9CA00D7854D03586BA5EF67438930A","2","btr_best.pt | best.pt","btr_best.pt | training_runs\btr_yolov8n_local_test\weights\best.pt"
"4275B7FE1382F0833F766231EC094231E2868B838A9D152F9583B6035382D24C","2","btr_best_v2.pt | best.pt","btr_best_v2.pt | training_runs\btr_yolov8n_v2_50epochs\weights\best.pt"
"B50AF702E65FE3B144824D517AEDC157CB4235E56CF3FE786B6C1A435ECAEF1F","2","military_kaggle_v1.pt | best.pt","military_kaggle_v1.pt | training_runs\military_kaggle_yolov8s_v1\weights\best.pt"
"6601EFE932B03AB26AD5D4B92C9531559FD96987B14404972DD884497DBCA73E","2","tank_platform_classifier_v0.pt | best.pt","tank_platform_classifier_v0.pt | runs\classify\tank_platform_classifier_v0\weights\best.pt"
"B44E6A284AE402C42F9A444D9049E903649CBBFEDEF7A7F3E6EDAAC1AC8E1CB4","2","tank_platform_classifier_v1_exact_types.pt | best.pt","tank_platform_classifier_v1_exact_types.pt | runs\classify\tank_platform_classifier_v1_exact_types\weights\best.pt"
"403C1DA9CC9E8D94E0FFB0FA594E5C5856936DDBE457EE9BB4D2969A8F27BCF1","2","tank_platform_classifier_v2_exact_focus.pt | best.pt","tank_platform_classifier_v2_exact_focus.pt | runs\classify\tank_platform_classifier_v2_exact_focus\weights\best.pt"
"3C3891FD49DBC857DD5F4C8B2AE05AE27E99D8350669314D898DB7E4236F13F2","2","tank_type_classifier_v3_only_tanks.pt | best.pt","tank_type_classifier_v3_only_tanks.pt | runs\classify\tank_type_classifier_v3_only_tanks-2\weights\best.pt"
"10718E4AA348E1BD5ADB7E366C8B05B0E2C2D5EC65CFA04329AF20644292ACB2","2","tank_type_classifier_v4_safe_unknown.pt | best.pt","tank_type_classifier_v4_safe_unknown.pt | runs\classify\tank_type_classifier_v4_safe_unknown\weights\best.pt"
