"Name","Status","Extension","SizeMB","LastModified","RelativePath","FullPath"
"armored_vehicle_classifier_v1.pt","ACTIVE_DEPLOYMENT",".pt","9.79","7/9/2026 12:19:03 PM","armored_vehicle_classifier_v1.pt","C:\Users\UAVlab\Desktop\uav_ai_company\armored_vehicle_classifier_v1.pt"
"artillery_launcher_classifier_v1.pt","ACTIVE_DEPLOYMENT",".pt","9.79","7/9/2026 4:14:32 PM","artillery_launcher_classifier_v1.pt","C:\Users\UAVlab\Desktop\uav_ai_company\artillery_launcher_classifier_v1.pt"
"military_kaggle_v1.pt","ACTIVE_DEPLOYMENT",".pt","21.46","7/2/2026 3:59:32 PM","military_kaggle_v1.pt","C:\Users\UAVlab\Desktop\uav_ai_company\military_kaggle_v1.pt"
"tank_type_classifier_v3_only_tanks.pt","ACTIVE_DEPLOYMENT",".pt","9.8","7/9/2026 10:17:04 AM","tank_type_classifier_v3_only_tanks.pt","C:\Users\UAVlab\Desktop\uav_ai_company\tank_type_classifier_v3_only_tanks.pt"
"yolo26n.pt","BASE_PRETRAINED_WEIGHT",".pt","5.29","6/30/2026 10:50:17 AM","yolo26n.pt","C:\Users\UAVlab\Desktop\uav_ai_company\yolo26n.pt"
"yolov8n.pt","BASE_PRETRAINED_WEIGHT",".pt","6.25","6/26/2026 1:34:11 PM","yolov8n.pt","C:\Users\UAVlab\Desktop\uav_ai_company\yolov8n.pt"
"yolov8s.pt","BASE_PRETRAINED_WEIGHT",".pt","21.54","7/2/2026 10:28:18 AM","yolov8s.pt","C:\Users\UAVlab\Desktop\uav_ai_company\yolov8s.pt"
"yolov8s-cls.pt","BASE_PRETRAINED_WEIGHT",".pt","12.26","7/8/2026 2:53:19 PM","yolov8s-cls.pt","C:\Users\UAVlab\Desktop\uav_ai_company\yolov8s-cls.pt"
"amad5_aerial_v1.pt","EXPERIMENTAL_REVIEW",".pt","21.45","7/3/2026 4:10:44 PM","amad5_aerial_v1.pt","C:\Users\UAVlab\Desktop\uav_ai_company\amad5_aerial_v1.pt"
"btr_best.pt","EXPERIMENTAL_REVIEW",".pt","5.96","6/30/2026 11:03:05 AM","btr_best.pt","C:\Users\UAVlab\Desktop\uav_ai_company\btr_best.pt"
"btr_best_v2.pt","EXPERIMENTAL_REVIEW",".pt","5.96","6/30/2026 2:26:53 PM","btr_best_v2.pt","C:\Users\UAVlab\Desktop\uav_ai_company\btr_best_v2.pt"
"tank_platform_classifier_v0.pt","EXPERIMENTAL_REVIEW",".pt","9.79","7/8/2026 2:55:06 PM","tank_platform_classifier_v0.pt","C:\Users\UAVlab\Desktop\uav_ai_company\tank_platform_classifier_v0.pt"
