"Name","Extension","SizeMB","SHA256","LastModified","RelativePath","FullPath"
"amad5_aerial_v1.pt",".pt","21.45","68E7C4783AFAAFDA823EE279EA48BAE7475824ED014DC75B30097ECE8275B5EC","7/3/2026 4:10:44 PM","amad5_aerial_v1.pt","<legacy-project-root>\amad5_aerial_v1.pt"
"armored_best_fast_balanced.onnx",".onnx","42.75","352DE898DBC6EF389E7A9A4D95CF9BA053B30642EED59713FCB38396A7042769","6/24/2026 3:01:22 PM","armored_best_fast_balanced.onnx","<legacy-project-root>\armored_best_fast_balanced.onnx"
"armored_vehicle_classifier_v1.pt",".pt","9.79","F7FDE262F0F20119EE77BC1F52DE115BAE27F5C99F4DD2E46AD83948623DEC36","7/9/2026 12:19:03 PM","armored_vehicle_classifier_v1.pt","<legacy-project-root>\armored_vehicle_classifier_v1.pt"
"artillery_launcher_classifier_v1.pt",".pt","9.79","9E1EE45FEEC45DA8876A0152C40E6FFEDCBC2EA5616F1264A23975BCAD53A9A3","7/9/2026 4:14:32 PM","artillery_launcher_classifier_v1.pt","<legacy-project-root>\artillery_launcher_classifier_v1.pt"
"btr_best.pt",".pt","5.96","AE9FEAC2A2737C6D1705CF2A25D5865CFE9CA00D7854D03586BA5EF67438930A","6/30/2026 11:03:05 AM","btr_best.pt","<legacy-project-root>\btr_best.pt"
"btr_best_v2.pt",".pt","5.96","4275B7FE1382F0833F766231EC094231E2868B838A9D152F9583B6035382D24C","6/30/2026 2:26:53 PM","btr_best_v2.pt","<legacy-project-root>\btr_best_v2.pt"
"coco_surveillance_yolov8n_640.onnx",".onnx","12.26","69A08897E2FD3EB3264D5D3AE63FBB14BB74352B6671F19675149624B8E8A7C6","6/26/2026 10:07:06 AM","coco_surveillance_yolov8n_640.onnx","<legacy-project-root>\coco_surveillance_yolov8n_640.onnx"
"coco_surveillance_yolov8s_640 (1).onnx",".onnx","42.79","F39A85852BA104E9921D7CCC6AEF21D06ACBAC5761B810B9899FC63A58F38025","6/26/2026 10:14:37 AM","coco_surveillance_yolov8s_640 (1).onnx","<legacy-project-root>\coco_surveillance_yolov8s_640 (1).onnx"
"military_kaggle_v1.pt",".pt","21.46","B50AF702E65FE3B144824D517AEDC157CB4235E56CF3FE786B6C1A435ECAEF1F","7/2/2026 3:59:32 PM","military_kaggle_v1.pt","<legacy-project-root>\military_kaggle_v1.pt"
"person_best.onnx",".onnx","42.79","6D6F72F8FD5E47B02B634EBD59EBF5591C06DBFAFF78AB0DC438AFF5ED2D5EBB","6/24/2026 12:01:39 PM","person_best.onnx","<legacy-project-root>\person_best.onnx"
"tank_platform_classifier_v0.pt",".pt","9.79","6601EFE932B03AB26AD5D4B92C9531559FD96987B14404972DD884497DBCA73E","7/8/2026 2:55:06 PM","tank_platform_classifier_v0.pt","<legacy-project-root>\tank_platform_classifier_v0.pt"
"tank_platform_classifier_v1_exact_types.pt",".pt","9.81","B44E6A284AE402C42F9A444D9049E903649CBBFEDEF7A7F3E6EDAAC1AC8E1CB4","7/8/2026 4:22:42 PM","tank_platform_classifier_v1_exact_types.pt","<legacy-project-root>\tank_platform_classifier_v1_exact_types.pt"
"tank_platform_classifier_v2_exact_focus.pt",".pt","9.81","403C1DA9CC9E8D94E0FFB0FA594E5C5856936DDBE457EE9BB4D2969A8F27BCF1","7/8/2026 4:52:06 PM","tank_platform_classifier_v2_exact_focus.pt","<legacy-project-root>\tank_platform_classifier_v2_exact_focus.pt"
"tank_type_classifier_v3_only_tanks.pt",".pt","9.8","3C3891FD49DBC857DD5F4C8B2AE05AE27E99D8350669314D898DB7E4236F13F2","7/9/2026 10:17:04 AM","tank_type_classifier_v3_only_tanks.pt","<legacy-project-root>\tank_type_classifier_v3_only_tanks.pt"
"tank_type_classifier_v4_safe_unknown.pt",".pt","9.8","10718E4AA348E1BD5ADB7E366C8B05B0E2C2D5EC65CFA04329AF20644292ACB2","7/9/2026 12:03:59 PM","tank_type_classifier_v4_safe_unknown.pt","<legacy-project-root>\tank_type_classifier_v4_safe_unknown.pt"
"yolo26n.pt",".pt","5.29","9B09CC8BF347F0FC8A5F7657480587F25DB09B34BF33B0652110FB03A8AD4FEF","6/30/2026 10:50:17 AM","yolo26n.pt","<legacy-project-root>\yolo26n.pt"
"yolov8n.pt",".pt","6.25","F59B3D833E2FF32E194B5BB8E08D211DC7C5BDF144B90D2C8412C47CCFC83B36","6/26/2026 1:34:11 PM","yolov8n.pt","<legacy-project-root>\yolov8n.pt"
"yolov8s-cls.pt",".pt","12.26","8079E739DED3CE0837CEAADE760D6D17D496F38AAA4ED73C3DA5B91EE5A9CA3C","7/8/2026 2:53:19 PM","yolov8s-cls.pt","<legacy-project-root>\yolov8s-cls.pt"
"yolov8s.pt",".pt","21.54","1F47A78BF100391C2A140B7AC73A1CAAE18C32779BE7D310658112F7AC9AA78A","7/2/2026 10:28:18 AM","yolov8s.pt","<legacy-project-root>\yolov8s.pt"
"best.pt",".pt","9.79","F7FDE262F0F20119EE77BC1F52DE115BAE27F5C99F4DD2E46AD83948623DEC36","7/9/2026 12:19:03 PM","runs\classify\armored_vehicle_classifier_v1\weights\best.pt","<legacy-project-root>\runs\classify\armored_vehicle_classifier_v1\weights\best.pt"
"last.pt",".pt","9.79","13202FFBE9E52F70D91BDF3F1471551FED58DB1419CC233235E024970368E9A3","7/9/2026 12:19:03 PM","runs\classify\armored_vehicle_classifier_v1\weights\last.pt","<legacy-project-root>\runs\classify\armored_vehicle_classifier_v1\weights\last.pt"
"best.pt",".pt","9.79","9E1EE45FEEC45DA8876A0152C40E6FFEDCBC2EA5616F1264A23975BCAD53A9A3","7/9/2026 4:14:32 PM","runs\classify\artillery_launcher_classifier_v1\weights\best.pt","<legacy-project-root>\runs\classify\artillery_launcher_classifier_v1\weights\best.pt"
"last.pt",".pt","9.79","70EFBD1CC1865742855B37994CE732384314E1E2F8B53E78BCC0474C95474EC9","7/9/2026 4:14:32 PM","runs\classify\artillery_launcher_classifier_v1\weights\last.pt","<legacy-project-root>\runs\classify\artillery_launcher_classifier_v1\weights\last.pt"
"best.pt",".pt","9.79","6601EFE932B03AB26AD5D4B92C9531559FD96987B14404972DD884497DBCA73E","7/8/2026 2:55:06 PM","runs\classify\tank_platform_classifier_v0\weights\best.pt","<legacy-project-root>\runs\classify\tank_platform_classifier_v0\weights\best.pt"
"last.pt",".pt","9.79","F5F7BB5C504873260137A0E5506F1F8A636E2073F30663A9AC502C885E078500","7/8/2026 2:55:06 PM","runs\classify\tank_platform_classifier_v0\weights\last.pt","<legacy-project-root>\runs\classify\tank_platform_classifier_v0\weights\last.pt"
"best.pt",".pt","9.81","B44E6A284AE402C42F9A444D9049E903649CBBFEDEF7A7F3E6EDAAC1AC8E1CB4","7/8/2026 4:22:42 PM","runs\classify\tank_platform_classifier_v1_exact_types\weights\best.pt","<legacy-project-root>\runs\classify\tank_platform_classifier_v1_exact_types\weights\best.pt"
"last.pt",".pt","9.81","8DBA09CB732337F57A4CADDEC5EFFBA6B70E187ADDEB2E5750B06C2CF80818B5","7/8/2026 4:22:42 PM","runs\classify\tank_platform_classifier_v1_exact_types\weights\last.pt","<legacy-project-root>\runs\classify\tank_platform_classifier_v1_exact_types\weights\last.pt"
"best.pt",".pt","9.81","403C1DA9CC9E8D94E0FFB0FA594E5C5856936DDBE457EE9BB4D2969A8F27BCF1","7/8/2026 4:52:06 PM","runs\classify\tank_platform_classifier_v2_exact_focus\weights\best.pt","<legacy-project-root>\runs\classify\tank_platform_classifier_v2_exact_focus\weights\best.pt"
