"FullName","Name","Extension","Length","LastWriteTime"
"<legacy-project-root>\create_artillery_launcher_folders_v1.py","create_artillery_launcher_folders_v1.py",".py","674","7/9/2026 12:23:38 PM"
"<legacy-project-root>\datasets_master_old_longpath\03_roboflow_military_footage_8class\train\labels\cold_response_jpg.rf.gt8qqo4z8S1H7enBOO2f.txt","cold_response_jpg.rf.gt8qqo4z8S1H7enBOO2f.txt",".txt","157","7/2/2026 7:19:34 AM"
"<legacy-project-root>\datasets_master_old_longpath\03_roboflow_military_footage_8class\train\labels\ezgif-frame-014_jpg.rf.3rIKVznoldA4mZBE5L3J.txt","ezgif-frame-014_jpg.rf.3rIKVznoldA4mZBE5L3J.txt",".txt","160","7/2/2026 7:19:34 AM"
"<legacy-project-root>\datasets_master_old_longpath\03_roboflow_military_footage_8class\train\labels\videoblocks-aerial-view-military-soldiers-sittingon-moving-army-tank-on-shooting-training_h5kfnzmbg_thumbnail-1080_01_png_jpg.rf.4QW0HTlirdgESvL594ve.txt","videoblocks-aerial-view-military-soldiers-sittingon-moving-army-tank-on-shooting-training_h5kfnzmbg_thumbnail-1080_01_png_jpg.rf.4QW0HTlirdgESvL594ve.txt",".txt","80","7/2/2026 7:19:34 AM"
"<legacy-project-root>\datasets_master_old_longpath\04_roboflow_tank_2class\train\labels\chieftain_untold_story_main_jpg.rf.510f30e4cb0192c3bbc2151d10c87399.txt","chieftain_untold_story_main_jpg.rf.510f30e4cb0192c3bbc2151d10c87399.txt",".txt","38","3/1/2023 8:52:14 PM"
"<legacy-project-root>\datasets_master_old_longpath\05_amad5_aerial_military_5class\test\labels\arif-madanoglu-8x8-desert-scene-copy_jpg.rf.b55fc87edad075cdc11758658e895b89.txt","arif-madanoglu-8x8-desert-scene-copy_jpg.rf.b55fc87edad075cdc11758658e895b89.txt",".txt","42","2/13/2026 6:59:28 PM"
"<legacy-project-root>\datasets_master_old_longpath\05_amad5_aerial_military_5class\train\labels\1952_gmc_m135_2_5_ton_canadian_army_truck_by_boshart_molder_dbpa79o-fullview_jpg.rf.1c08a5cff84257ac3b82b83b5da0b2d8.txt","1952_gmc_m135_2_5_ton_canadian_army_truck_by_boshart_molder_dbpa79o-fullview_jpg.rf.1c08a5cff84257ac3b82b83b5da0b2d8.txt",".txt","78","2/13/2026 7:03:04 PM"
"<legacy-project-root>\datasets_master_old_longpath\05_amad5_aerial_military_5class\train\labels\1952_gmc_m135_2_5_ton_canadian_army_truck_by_boshart_molder_dbpa79o-fullview_jpg.rf.2a843e9fd8c781f4d9b8c7905ccaba14.txt","1952_gmc_m135_2_5_ton_canadian_army_truck_by_boshart_molder_dbpa79o-fullview_jpg.rf.2a843e9fd8c781f4d9b8c7905ccaba14.txt",".txt","41","2/13/2026 7:03:04 PM"
"<legacy-project-root>\datasets_master_old_longpath\05_amad5_aerial_military_5class\train\labels\1952_gmc_m135_2_5_ton_canadian_army_truck_by_boshart_molder_dbpa79o-fullview_jpg.rf.e3717e2c7f92de302d665395bf949b8e.txt","1952_gmc_m135_2_5_ton_canadian_army_truck_by_boshart_molder_dbpa79o-fullview_jpg.rf.e3717e2c7f92de302d665395bf949b8e.txt",".txt","79","2/13/2026 7:03:04 PM"
"<legacy-project-root>\datasets_master_old_longpath\05_amad5_aerial_military_5class\train\labels\alking-beside-woman-holding-bag-people-people-hd-photography-shoe-aka-people_png.rf.118524ad96cb165d61ac60d0513dde72.txt","alking-beside-woman-holding-bag-people-people-hd-photography-shoe-aka-people_png.rf.118524ad96cb165d61ac60d0513dde72.txt",".txt","80","2/13/2026 7:03:10 PM"
"<legacy-project-root>\datasets_master_old_longpath\05_amad5_aerial_military_5class\train\labels\alking-beside-woman-holding-bag-people-people-hd-photography-shoe-aka-people_png.rf.65be2e863463eef8c9d8455928bd7e9f.txt","alking-beside-woman-holding-bag-people-people-hd-photography-shoe-aka-people_png.rf.65be2e863463eef8c9d8455928bd7e9f.txt",".txt","87","2/13/2026 7:03:10 PM"
"<legacy-project-root>\datasets_master_old_longpath\05_amad5_aerial_military_5class\train\labels\alking-beside-woman-holding-bag-people-people-hd-photography-shoe-aka-people_png.rf.75e19778347ca98d0733bc42d34c4a9d.txt","alking-beside-woman-holding-bag-people-people-hd-photography-shoe-aka-people_png.rf.75e19778347ca98d0733bc42d34c4a9d.txt",".txt","80","2/13/2026 7:03:10 PM"
"<legacy-project-root>\datasets_master_old_longpath\05_amad5_aerial_military_5class\train\labels\arif-madanoglu-8x8-desert-scene-copy_jpg.rf.12cde79e209aa3f6d0b4b498614d58bd.txt","arif-madanoglu-8x8-desert-scene-copy_jpg.rf.12cde79e209aa3f6d0b4b498614d58bd.txt",".txt","40","2/13/2026 7:03:10 PM"
"<legacy-project-root>\datasets_master_old_longpath\05_amad5_aerial_military_5class\train\labels\arif-madanoglu-8x8-desert-scene-copy_jpg.rf.24f86687336ab469f9d9dab30cf00104.txt","arif-madanoglu-8x8-desert-scene-copy_jpg.rf.24f86687336ab469f9d9dab30cf00104.txt",".txt","77","2/13/2026 7:03:10 PM"
"<legacy-project-root>\datasets_master_old_longpath\05_amad5_aerial_military_5class\train\labels\arif-madanoglu-8x8-desert-scene-copy_jpg.rf.75344cf78941c7d51e93ccfb3c9aaae5.txt","arif-madanoglu-8x8-desert-scene-copy_jpg.rf.75344cf78941c7d51e93ccfb3c9aaae5.txt",".txt","80","2/13/2026 7:03:10 PM"
"<legacy-project-root>\datasets_master_old_longpath\05_amad5_aerial_military_5class\train\labels\Copy-of-photo_16791_20100228_jpg.rf.5da9117d72fe91f8fded7d9b016a9231.txt","Copy-of-photo_16791_20100228_jpg.rf.5da9117d72fe91f8fded7d9b016a9231.txt",".txt","47","2/13/2026 7:03:08 PM"
"<legacy-project-root>\datasets_master_old_longpath\05_amad5_aerial_military_5class\train\labels\Copy-of-photo_16791_20100228_jpg.rf.c350199aff10fc2ecbd06fea0c593e06.txt","Copy-of-photo_16791_20100228_jpg.rf.c350199aff10fc2ecbd06fea0c593e06.txt",".txt","79","2/13/2026 7:03:08 PM"
"<legacy-project-root>\datasets_master_old_longpath\05_amad5_aerial_military_5class\train\labels\Copy-of-photo_16791_20100228_jpg.rf.cc0f535e96669f32ea18b12ac6da4074.txt","Copy-of-photo_16791_20100228_jpg.rf.cc0f535e96669f32ea18b12ac6da4074.txt",".txt","79","2/13/2026 7:03:08 PM"
"<legacy-project-root>\datasets_master_old_longpath\05_amad5_aerial_military_5class\train\labels\couple-holding-hands-while-walking_jpg.rf.1f3864e02346ed58d37e2e5d945f84a9.txt","couple-holding-hands-while-walking_jpg.rf.1f3864e02346ed58d37e2e5d945f84a9.txt",".txt","127","2/13/2026 7:03:10 PM"
"<legacy-project-root>\datasets_master_old_longpath\05_amad5_aerial_military_5class\train\labels\couple-holding-hands-while-walking_jpg.rf.5b8ef181ccec3a81786923987210d1a9.txt","couple-holding-hands-while-walking_jpg.rf.5b8ef181ccec3a81786923987210d1a9.txt",".txt","129","2/13/2026 7:03:10 PM"
"<legacy-project-root>\datasets_master_old_longpath\05_amad5_aerial_military_5class\train\labels\couple-holding-hands-while-walking_jpg.rf.fbd4450c42aa52bd8671392e6a2db80a.txt","couple-holding-hands-while-walking_jpg.rf.fbd4450c42aa52bd8671392e6a2db80a.txt",".txt","133","2/13/2026 7:03:10 PM"
"<legacy-project-root>\datasets_master_old_longpath\05_amad5_aerial_military_5class\train\labels\image-placeholder-title_jpg.rf.b5961a2942d1d75288806f925933e7c8.txt","image-placeholder-title_jpg.rf.b5961a2942d1d75288806f925933e7c8.txt",".txt","39","2/13/2026 7:03:12 PM"
"<legacy-project-root>\datasets_master_old_longpath\05_amad5_aerial_military_5class\train\labels\image-placeholder-title_jpg.rf.eb339baaff1561997c9bbb13046a812d.txt","image-placeholder-title_jpg.rf.eb339baaff1561997c9bbb13046a812d.txt",".txt","78","2/13/2026 7:03:12 PM"
"<legacy-project-root>\datasets_master_old_longpath\05_amad5_aerial_military_5class\train\labels\image-placeholder-title_jpg.rf.f3aa07b09e56554b3fcd27640b40444d.txt","image-placeholder-title_jpg.rf.f3aa07b09e56554b3fcd27640b40444d.txt",".txt","78","2/13/2026 7:03:12 PM"
"<legacy-project-root>\datasets_master_old_longpath\05_amad5_aerial_military_5class\train\labels\nation-older-people-senior-patient-showing-arm-with-bandage-patch_497537-175_jpg.rf.89a0ff787a7f0170240dec632f8a8a17.txt","nation-older-people-senior-patient-showing-arm-with-bandage-patch_497537-175_jpg.rf.89a0ff787a7f0170240dec632f8a8a17.txt",".txt","30","2/13/2026 7:03:14 PM"
"<legacy-project-root>\datasets_master_old_longpath\05_amad5_aerial_military_5class\train\labels\nation-older-people-senior-patient-showing-arm-with-bandage-patch_497537-175_jpg.rf.aa6b57dbcdd105589e2e4ebdeefa2e36.txt","nation-older-people-senior-patient-showing-arm-with-bandage-patch_497537-175_jpg.rf.aa6b57dbcdd105589e2e4ebdeefa2e36.txt",".txt","30","2/13/2026 7:03:14 PM"
"<legacy-project-root>\datasets_master_old_longpath\05_amad5_aerial_military_5class\train\labels\nation-older-people-senior-patient-showing-arm-with-bandage-patch_497537-175_jpg.rf.b927abacadb3328b03a440de4669f760.txt","nation-older-people-senior-patient-showing-arm-with-bandage-patch_497537-175_jpg.rf.b927abacadb3328b03a440de4669f760.txt",".txt","30","2/13/2026 7:03:14 PM"
"<legacy-project-root>\datasets_master_old_longpath\05_amad5_aerial_military_5class\train\labels\old-army-military-troop-transport-260nw-523938913_png_jpg.rf.b2863c0f014f3f405267c3820a138a16.txt","old-army-military-troop-transport-260nw-523938913_png_jpg.rf.b2863c0f014f3f405267c3820a138a16.txt",".txt","78","2/13/2026 7:03:14 PM"
"<legacy-project-root>\datasets_master_old_longpath\05_amad5_aerial_military_5class\train\labels\old-army-military-troop-transport-260nw-523938913_png_jpg.rf.b2cd04a65d8a688b2a19c1b38ed759e2.txt","old-army-military-troop-transport-260nw-523938913_png_jpg.rf.b2cd04a65d8a688b2a19c1b38ed759e2.txt",".txt","45","2/13/2026 7:03:14 PM"
"<legacy-project-root>\datasets_master_old_longpath\05_amad5_aerial_military_5class\train\labels\old-army-military-troop-transport-260nw-523938913_png_jpg.rf.e9e0f5a4723d3bae9527099bd55f7107.txt","old-army-military-troop-transport-260nw-523938913_png_jpg.rf.e9e0f5a4723d3bae9527099bd55f7107.txt",".txt","77","2/13/2026 7:03:14 PM"
"<legacy-project-root>\datasets_master_old_longpath\05_amad5_aerial_military_5class\train\labels\soldier-in-a-hummer-jeep-ADMP17_jpg.rf.29a663686494bc8ef0e72828e2781370.txt","soldier-in-a-hummer-jeep-ADMP17_jpg.rf.29a663686494bc8ef0e72828e2781370.txt",".txt","80","2/13/2026 7:03:20 PM"
"<legacy-project-root>\datasets_master_old_longpath\05_amad5_aerial_military_5class\train\labels\soldier-in-a-hummer-jeep-ADMP17_jpg.rf.9170041558f1d6944bf05df2376ba699.txt","soldier-in-a-hummer-jeep-ADMP17_jpg.rf.9170041558f1d6944bf05df2376ba699.txt",".txt","46","2/13/2026 7:03:20 PM"
"<legacy-project-root>\datasets_master_old_longpath\05_amad5_aerial_military_5class\train\labels\soldier-in-a-hummer-jeep-ADMP17_jpg.rf.f905997dc5986689175088d8bdc92b0b.txt","soldier-in-a-hummer-jeep-ADMP17_jpg.rf.f905997dc5986689175088d8bdc92b0b.txt",".txt","78","2/13/2026 7:03:20 PM"
"<legacy-project-root>\model_data_exports\02_Review_And_Archive_Old_UAV_Files.ps1","02_Review_And_Archive_Old_UAV_Files.ps1",".ps1","3888","7/15/2026 2:45:05 PM"
"<legacy-project-root>\sender_backup.txt","sender_backup.txt",".txt","29676","7/6/2026 9:57:13 AM"
"<legacy-project-root>\win_yolo_tcp_sender_backup_before_dashboard_fix.py","win_yolo_tcp_sender_backup_before_dashboard_fix.py",".py","14835","7/2/2026 4:58:29 PM"
"<legacy-project-root>\win_yolo_tcp_sender_backup_before_final_btr_fix.py","win_yolo_tcp_sender_backup_before_final_btr_fix.py",".py","5900","6/30/2026 11:58:46 AM"
