"Category","FileCount","TotalBytes","Notes"
"all_files","196011","54635420771","Aggregate only; workstation paths and timestamps removed"
"jpg","97570","13753703273","Dataset image aggregate"
"txt","97251","11063476","Text/label aggregate"
"jpeg","848","54978122","Dataset image aggregate"
"png","128","89097512","Image aggregate"
"python","45","268278","Source aggregate"
"pt","39","456273025","Checkpoint aggregate; policy review and external artifact storage required"
"yaml","30","29763","Configuration aggregate"
"avi","19","1111697696","Video aggregate"
"csv","17","1118977","Report aggregate"
"zip","9","10187102846","Dataset archive aggregate"
"mp4","9","196881880","Video aggregate"
"onnx","4","147416783","Exported-model aggregate; policy review required"
