"RunName","RunType","Task","Model","Data","Epochs","Batch","ImageSize","Device","Optimizer","Patience","Seed","ArgsFile"
"armored_vehicle_classifier_v1","CLASSIFICATION","classify","yolov8s-cls.pt","C:\uav_datasets_master\07_tank_platform_recognition\01_armored_vehicle_classifier_dataset_v1","80","16","320","'0'","auto","100","0","classification_runs\armored_vehicle_classifier_v1\args.yaml"
"artillery_launcher_classifier_v1","CLASSIFICATION","classify","yolov8s-cls.pt","C:\uav_datasets_master\07_tank_platform_recognition\01_artillery_launcher_classifier_dataset_v1","80","16","320","'0'","auto","100","0","classification_runs\artillery_launcher_classifier_v1\args.yaml"
"tank_platform_classifier_v0","CLASSIFICATION","classify","yolov8s-cls.pt","C:\uav_datasets_master\07_tank_platform_recognition\01_classifier_dataset","30","32","224","'0'","auto","100","0","classification_runs\tank_platform_classifier_v0\args.yaml"
"tank_platform_classifier_v1_exact_types","CLASSIFICATION","classify","yolov8s-cls.pt","C:\uav_datasets_master\07_tank_platform_recognition\01_classifier_dataset","60","32","224","'0'","auto","100","0","classification_runs\tank_platform_classifier_v1_exact_types\args.yaml"
"tank_platform_classifier_v2_exact_focus","CLASSIFICATION","classify","yolov8s-cls.pt","C:\uav_datasets_master\07_tank_platform_recognition\01_classifier_dataset_v2_exact_focus","80","16","320","'0'","auto","100","0","classification_runs\tank_platform_classifier_v2_exact_focus\args.yaml"
"tank_type_classifier_v3_only_tanks","CLASSIFICATION","classify","yolov8s-cls.pt","C:\uav_datasets_master\07_tank_platform_recognition\01_tank_type_classifier_dataset_v3","80","16","320","'0'","auto","100","0","classification_runs\tank_type_classifier_v3_only_tanks\args.yaml"
"tank_type_classifier_v3_only_tanks-2","CLASSIFICATION","classify","yolov8s-cls.pt","C:\uav_datasets_master\07_tank_platform_recognition\01_tank_type_classifier_dataset_v3","80","16","320","'0'","auto","100","0","classification_runs\tank_type_classifier_v3_only_tanks-2\args.yaml"
"tank_type_classifier_v4_safe_unknown","CLASSIFICATION","classify","yolov8s-cls.pt","C:\uav_datasets_master\07_tank_platform_recognition\01_tank_type_classifier_dataset_v4_safe_unknown","100","16","320","'0'","auto","100","0","classification_runs\tank_type_classifier_v4_safe_unknown\args.yaml"
"amad5_aerial_yolov8s_v1","DETECTION","detect","runs\detect\training_runs\amad5_aerial_yolov8s_v1\weights\last.pt","training_configs\05_amad5_aerial_military_5class_clean.yaml","15","4","640","'0'","auto","100","0","detection_runs\amad5_aerial_yolov8s_v1\args.yaml"
"btr_yolov8n_local_test","DETECTION","detect","yolov8n.pt","C:\Users\UAVlab\Desktop\uav_ai_company\BTR.v1i.yolov8\data.yaml","10","4","640","'0'","auto","5","0","detection_runs\btr_yolov8n_local_test\args.yaml"
"btr_yolov8n_v2_50epochs","DETECTION","detect","yolov8n.pt","C:\Users\UAVlab\Desktop\uav_ai_company\BTR.v1i.yolov8\data.yaml","50","4","640","'0'","auto","15","0","detection_runs\btr_yolov8n_v2_50epochs\args.yaml"
"military_kaggle_yolov8s_v1","DETECTION","detect","yolov8s.pt","C:\Users\UAVlab\Desktop\uav_ai_company\big_datasets\01_kaggle_military_assets\military_object_dataset\data.yaml","15","8","640","'0'","auto","5","0","detection_runs\military_kaggle_yolov8s_v1\args.yaml"
