epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.51001,0.90513,0.8156,1,0.46264,0.0004287,0.0004287,0.0004287
2,10.2326,0.415,0.92908,1,0.16878,0.000860903,0.000860903,0.000860903
3,12.11,0.20448,0.97872,1,0.05648,0.00128214,0.00128214,0.00128214
4,13.972,0.13561,0.97872,1,0.05477,0.00137595,0.00137595,0.00137595
5,15.7288,0.14394,0.95745,1,0.15091,0.00135826,0.00135826,0.00135826
6,17.4673,0.11221,0.96454,1,0.06804,0.00134058,0.00134058,0.00134058
7,19.2018,0.19282,0.97872,1,0.09951,0.0013229,0.0013229,0.0013229
8,20.9801,0.13951,0.94326,1,0.17118,0.00130521,0.00130521,0.00130521
9,22.6988,0.1105,0.97872,1,0.06076,0.00128753,0.00128753,0.00128753
10,24.4928,0.0968,0.96454,1,0.13726,0.00126985,0.00126985,0.00126985
11,26.2278,0.08703,0.95745,1,0.15255,0.00125216,0.00125216,0.00125216
12,27.9614,0.125,0.97872,1,0.09548,0.00123448,0.00123448,0.00123448
13,29.7172,0.09033,0.97163,1,0.05799,0.00121679,0.00121679,0.00121679
14,31.4607,0.10052,0.97163,1,0.0466,0.00119911,0.00119911,0.00119911
15,33.1981,0.04971,0.97872,1,0.04415,0.00118143,0.00118143,0.00118143
16,34.9822,0.04245,0.97872,1,0.05658,0.00116374,0.00116374,0.00116374
17,36.7257,0.03685,0.97872,1,0.0438,0.00114606,0.00114606,0.00114606
18,38.5037,0.04998,0.97872,1,0.02432,0.00112837,0.00112837,0.00112837
19,40.2412,0.03528,0.98582,1,0.01481,0.00111069,0.00111069,0.00111069
20,42.0114,0.0196,0.98582,1,0.01595,0.00109301,0.00109301,0.00109301
21,43.7783,0.03448,0.97872,1,0.0228,0.00107532,0.00107532,0.00107532
22,45.5014,0.03707,0.97163,1,0.05585,0.00105764,0.00105764,0.00105764
23,47.2478,0.0471,0.97872,1,0.10827,0.00103995,0.00103995,0.00103995
24,48.9759,0.02515,0.99291,1,0.02453,0.00102227,0.00102227,0.00102227
25,50.7278,0.05906,0.99291,1,0.02257,0.00100459,0.00100459,0.00100459
26,52.4679,0.03119,0.98582,1,0.05673,0.000986903,0.000986903,0.000986903
27,54.1883,0.06073,0.97163,1,0.09362,0.000969219,0.000969219,0.000969219
28,55.9561,0.02897,0.97872,1,0.08916,0.000951535,0.000951535,0.000951535
29,57.6973,0.03392,0.97872,1,0.15032,0.000933851,0.000933851,0.000933851
30,59.4571,0.019,0.98582,1,0.03951,0.000916168,0.000916168,0.000916168
31,61.2001,0.02539,0.98582,1,0.027,0.000898484,0.000898484,0.000898484
32,62.9634,0.02129,0.97872,1,0.05342,0.0008808,0.0008808,0.0008808
33,64.6926,0.03122,0.97872,1,0.04495,0.000863116,0.000863116,0.000863116
34,66.4539,0.02474,0.97872,1,0.06319,0.000845432,0.000845432,0.000845432
35,68.3387,0.02817,0.97872,1,0.03993,0.000827748,0.000827748,0.000827748
36,70.1749,0.0308,0.97872,1,0.04422,0.000810064,0.000810064,0.000810064
37,72.0131,0.02084,0.97872,1,0.06361,0.00079238,0.00079238,0.00079238
38,73.7898,0.01098,0.97872,1,0.04321,0.000774697,0.000774697,0.000774697
39,75.5581,0.00918,0.98582,1,0.03709,0.000757013,0.000757013,0.000757013
40,77.2849,0.02233,0.97163,1,0.06062,0.000739329,0.000739329,0.000739329
41,79.021,0.02407,0.97163,1,0.11733,0.000721645,0.000721645,0.000721645
42,80.7555,0.03692,0.97872,1,0.12296,0.000703961,0.000703961,0.000703961
43,82.5143,0.02133,0.98582,1,0.10166,0.000686277,0.000686277,0.000686277
44,84.2618,0.01461,0.98582,1,0.10056,0.000668593,0.000668593,0.000668593
45,85.9626,0.03222,0.97872,1,0.09442,0.000650909,0.000650909,0.000650909
46,87.7576,0.01233,0.97872,1,0.12145,0.000633226,0.000633226,0.000633226
47,89.6092,0.00935,0.97872,1,0.08045,0.000615542,0.000615542,0.000615542
48,91.5015,0.02271,0.97872,1,0.0978,0.000597858,0.000597858,0.000597858
49,93.358,0.02499,0.97163,1,0.06459,0.000580174,0.000580174,0.000580174
50,95.2086,0.02277,0.98582,1,0.01992,0.00056249,0.00056249,0.00056249
51,97.0889,0.01277,0.98582,1,0.01337,0.000544806,0.000544806,0.000544806
52,98.8775,0.00993,0.99291,1,0.0143,0.000527122,0.000527122,0.000527122
53,100.629,0.00529,0.97872,1,0.03051,0.000509438,0.000509438,0.000509438
54,102.396,0.01066,0.97872,1,0.01858,0.000491755,0.000491755,0.000491755
55,104.15,0.0075,0.97872,1,0.02393,0.000474071,0.000474071,0.000474071
56,105.856,0.01403,0.97872,1,0.03638,0.000456387,0.000456387,0.000456387
57,107.601,0.01315,0.97872,1,0.03687,0.000438703,0.000438703,0.000438703
58,109.365,0.01493,0.97872,1,0.03526,0.000421019,0.000421019,0.000421019
59,111.125,0.00956,0.97872,1,0.04459,0.000403335,0.000403335,0.000403335
60,112.852,0.00525,0.97872,1,0.0429,0.000385651,0.000385651,0.000385651
61,114.607,0.00859,0.97872,1,0.06352,0.000367967,0.000367967,0.000367967
62,116.353,0.0045,0.97872,1,0.03862,0.000350284,0.000350284,0.000350284
63,118.113,0.00528,0.97872,1,0.03924,0.0003326,0.0003326,0.0003326
64,119.87,0.00906,0.98582,1,0.03987,0.000314916,0.000314916,0.000314916
65,121.607,0.00594,0.98582,1,0.03219,0.000297232,0.000297232,0.000297232
66,123.349,0.01155,0.98582,1,0.05929,0.000279548,0.000279548,0.000279548
67,125.122,0.00508,0.98582,1,0.0392,0.000261864,0.000261864,0.000261864
68,126.851,0.00296,0.97872,1,0.06068,0.00024418,0.00024418,0.00024418
69,128.582,0.00919,0.98582,1,0.04573,0.000226497,0.000226497,0.000226497
70,130.322,0.00331,0.97872,1,0.04454,0.000208813,0.000208813,0.000208813
71,162.568,0.00619,0.97872,1,0.06363,0.000191129,0.000191129,0.000191129
72,164.338,0.00639,0.97872,1,0.04622,0.000173445,0.000173445,0.000173445
73,166.099,0.00364,0.97872,1,0.04703,0.000155761,0.000155761,0.000155761
74,167.857,0.00744,0.97872,1,0.0497,0.000138077,0.000138077,0.000138077
75,169.615,0.00628,0.97872,1,0.07403,0.000120393,0.000120393,0.000120393
76,171.405,0.00655,0.97872,1,0.04521,0.000102709,0.000102709,0.000102709
77,173.19,0.00441,0.97872,1,0.06193,8.50255e-05,8.50255e-05,8.50255e-05
78,174.933,0.00952,0.97872,1,0.04853,6.73416e-05,6.73416e-05,6.73416e-05
79,176.709,0.00299,0.97872,1,0.06801,4.96578e-05,4.96578e-05,4.96578e-05
80,178.486,0.00696,0.97872,1,0.05205,3.19739e-05,3.19739e-05,3.19739e-05
