epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.68516,0.8415,0.88587,1,0.30279,0.000411523,0.000411523,0.000411523
2,9.93432,0.2821,0.92935,1,0.21688,0.00081794,0.00081794,0.00081794
3,13.8919,0.20731,0.91576,1,0.25245,0.00121405,0.00121405,0.00121405
4,17.8574,0.23373,0.91304,1,0.22824,0.00120359,0.00120359,0.00120359
5,21.8188,0.19939,0.94837,1,0.27785,0.00118812,0.00118812,0.00118812
6,25.7535,0.24746,0.94837,1,0.17421,0.00117266,0.00117266,0.00117266
7,29.765,0.14878,0.95109,1,0.15727,0.00115719,0.00115719,0.00115719
8,33.7276,0.14707,0.95109,1,0.17525,0.00114172,0.00114172,0.00114172
9,37.6856,0.12397,0.96196,1,0.16157,0.00112625,0.00112625,0.00112625
10,41.6829,0.11961,0.96467,1,0.18019,0.00111078,0.00111078,0.00111078
11,45.6592,0.13047,0.96467,1,0.13291,0.00109531,0.00109531,0.00109531
12,49.5387,0.09487,0.96196,1,0.13388,0.00107984,0.00107984,0.00107984
13,53.4933,0.07506,0.96467,1,0.14416,0.00106437,0.00106437,0.00106437
14,57.4768,0.07493,0.96467,1,0.10531,0.00104891,0.00104891,0.00104891
15,61.4664,0.06423,0.96467,1,0.14891,0.00103344,0.00103344,0.00103344
16,65.4694,0.06605,0.96196,1,0.16231,0.00101797,0.00101797,0.00101797
17,69.431,0.06056,0.95924,1,0.16084,0.0010025,0.0010025,0.0010025
18,73.3072,0.066,0.96196,1,0.17322,0.000987031,0.000987031,0.000987031
19,77.2281,0.08204,0.96739,1,0.16925,0.000971562,0.000971562,0.000971562
20,81.2365,0.06999,0.97011,1,0.11219,0.000956094,0.000956094,0.000956094
21,85.1903,0.04569,0.97283,1,0.10594,0.000940625,0.000940625,0.000940625
22,89.192,0.04111,0.97554,1,0.08486,0.000925156,0.000925156,0.000925156
23,93.1749,0.06493,0.97554,1,0.12358,0.000909688,0.000909688,0.000909688
24,97.1464,0.03543,0.97554,1,0.14537,0.000894219,0.000894219,0.000894219
25,101.138,0.03305,0.97011,1,0.13076,0.00087875,0.00087875,0.00087875
26,105.066,0.05535,0.97283,1,0.08598,0.000863281,0.000863281,0.000863281
27,109.074,0.0489,0.95924,1,0.12194,0.000847813,0.000847813,0.000847813
28,113.074,0.0348,0.96196,1,0.16399,0.000832344,0.000832344,0.000832344
29,117.043,0.033,0.96739,1,0.1827,0.000816875,0.000816875,0.000816875
30,121.04,0.02976,0.96739,1,0.1399,0.000801406,0.000801406,0.000801406
31,125.052,0.01842,0.96739,1,0.11987,0.000785938,0.000785938,0.000785938
32,128.993,0.03484,0.97011,1,0.15471,0.000770469,0.000770469,0.000770469
33,132.948,0.02007,0.96467,1,0.11273,0.000755,0.000755,0.000755
34,136.918,0.02091,0.97011,1,0.15401,0.000739531,0.000739531,0.000739531
35,140.848,0.03177,0.97011,1,0.14515,0.000724062,0.000724062,0.000724062
36,144.813,0.02642,0.96739,1,0.10777,0.000708594,0.000708594,0.000708594
37,148.806,0.02404,0.96739,1,0.13645,0.000693125,0.000693125,0.000693125
38,152.745,0.02815,0.97283,1,0.08724,0.000677656,0.000677656,0.000677656
39,156.732,0.02319,0.97283,1,0.13202,0.000662188,0.000662188,0.000662188
40,160.769,0.01797,0.97283,1,0.09196,0.000646719,0.000646719,0.000646719
41,164.77,0.01687,0.96739,1,0.13749,0.00063125,0.00063125,0.00063125
42,168.661,0.01387,0.97011,1,0.19087,0.000615781,0.000615781,0.000615781
43,172.74,0.01863,0.97283,1,0.16533,0.000600313,0.000600313,0.000600313
44,176.747,0.02561,0.97011,1,0.14835,0.000584844,0.000584844,0.000584844
45,180.663,0.02466,0.97554,1,0.13944,0.000569375,0.000569375,0.000569375
46,184.63,0.01674,0.97011,1,0.1559,0.000553906,0.000553906,0.000553906
47,188.554,0.0094,0.97283,1,0.15429,0.000538438,0.000538438,0.000538438
48,192.643,0.01271,0.97554,1,0.11099,0.000522969,0.000522969,0.000522969
49,196.555,0.0078,0.97554,1,0.14324,0.0005075,0.0005075,0.0005075
50,200.554,0.01473,0.97554,1,0.15022,0.000492031,0.000492031,0.000492031
51,204.551,0.00803,0.97011,1,0.15895,0.000476562,0.000476562,0.000476562
52,208.541,0.00571,0.97826,1,0.16911,0.000461094,0.000461094,0.000461094
53,212.5,0.00595,0.97283,1,0.18545,0.000445625,0.000445625,0.000445625
54,216.396,0.00444,0.97283,1,0.16488,0.000430156,0.000430156,0.000430156
55,220.38,0.00493,0.97283,1,0.15733,0.000414688,0.000414688,0.000414688
56,224.405,0.00744,0.97554,1,0.15814,0.000399219,0.000399219,0.000399219
57,228.414,0.00432,0.97554,1,0.13397,0.00038375,0.00038375,0.00038375
58,232.404,0.00956,0.97283,1,0.12339,0.000368281,0.000368281,0.000368281
59,236.297,0.01229,0.97554,1,0.12043,0.000352812,0.000352812,0.000352812
60,240.181,0.00263,0.97826,1,0.17906,0.000337344,0.000337344,0.000337344
61,244.127,0.00436,0.97011,1,0.18396,0.000321875,0.000321875,0.000321875
62,248.169,0.00524,0.97283,1,0.18093,0.000306406,0.000306406,0.000306406
63,252.316,0.01571,0.97554,1,0.14284,0.000290937,0.000290937,0.000290937
64,256.442,0.01027,0.97554,1,0.14987,0.000275469,0.000275469,0.000275469
65,260.408,0.01271,0.97283,1,0.13742,0.00026,0.00026,0.00026
66,264.358,0.00949,0.97011,1,0.14911,0.000244531,0.000244531,0.000244531
67,268.303,0.01186,0.97283,1,0.13693,0.000229063,0.000229063,0.000229063
68,272.269,0.00575,0.97554,1,0.14682,0.000213594,0.000213594,0.000213594
69,276.192,0.00563,0.97554,1,0.13923,0.000198125,0.000198125,0.000198125
70,280.125,0.00603,0.97554,1,0.15555,0.000182656,0.000182656,0.000182656
