epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.69155,1.49378,0.59064,1,1.12529,0.00019998,0.00019998,0.00019998
2,9.1426,0.9275,0.73099,1,0.66407,0.000397505,0.000397505,0.000397505
3,10.4365,0.55382,0.84211,1,0.44769,0.000581097,0.000581097,0.000581097
4,11.6629,0.36998,0.88304,1,0.36296,0.000750758,0.000750758,0.000750758
5,12.9027,0.24493,0.90058,1,0.25787,0.000906487,0.000906487,0.000906487
6,14.1102,0.15929,0.88889,1,0.30322,0.000927685,0.000927685,0.000927685
7,15.3363,0.1614,0.89474,1,0.37589,0.000891022,0.000891022,0.000891022
8,16.5635,0.15957,0.88889,1,0.36791,0.000854359,0.000854359,0.000854359
9,17.7379,0.14391,0.8655,1,0.34261,0.000817696,0.000817696,0.000817696
10,18.9422,0.14127,0.90643,1,0.31246,0.000781033,0.000781033,0.000781033
11,20.1619,0.0911,0.92982,1,0.2614,0.00074437,0.00074437,0.00074437
12,21.414,0.11132,0.93567,1,0.19221,0.000707707,0.000707707,0.000707707
13,22.6119,0.10615,0.94737,1,0.188,0.000671044,0.000671044,0.000671044
14,23.8444,0.0735,0.94152,1,0.20927,0.000634381,0.000634381,0.000634381
15,25.041,0.0747,0.94152,1,0.20695,0.000597718,0.000597718,0.000597718
16,26.2291,0.07167,0.93567,1,0.21157,0.000561055,0.000561055,0.000561055
17,27.497,0.06387,0.92398,1,0.27603,0.000524392,0.000524392,0.000524392
18,28.8273,0.07881,0.93567,1,0.24621,0.000487729,0.000487729,0.000487729
19,30.1357,0.06945,0.93567,1,0.24489,0.000451066,0.000451066,0.000451066
20,31.4075,0.04206,0.93567,1,0.24728,0.000414403,0.000414403,0.000414403
21,62.3136,0.04335,0.94152,1,0.19955,0.00037774,0.00037774,0.00037774
22,63.5181,0.0351,0.94737,1,0.19827,0.000341077,0.000341077,0.000341077
23,64.7428,0.02076,0.93567,1,0.21447,0.000304414,0.000304414,0.000304414
24,65.9798,0.02464,0.95322,1,0.19651,0.000267751,0.000267751,0.000267751
25,67.2215,0.02497,0.94152,1,0.20688,0.000231088,0.000231088,0.000231088
26,68.398,0.02215,0.93567,1,0.20995,0.000194425,0.000194425,0.000194425
27,69.5721,0.03501,0.94152,1,0.23996,0.000157762,0.000157762,0.000157762
28,70.775,0.01765,0.93567,1,0.2133,0.000121099,0.000121099,0.000121099
29,71.9943,0.03049,0.92982,1,0.21412,8.4436e-05,8.4436e-05,8.4436e-05
30,73.1864,0.02651,0.92982,1,0.22986,4.7773e-05,4.7773e-05,4.7773e-05
