epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.66407,1.45856,0.77428,0.9753,0.79692,0.00022061,0.00022061,0.00022061
2,17.8824,0.69096,0.87138,0.99148,0.49327,0.000435635,0.000435635,0.000435635
3,25.8665,0.47059,0.85775,0.99574,0.47156,0.000643322,0.000643322,0.000643322
4,33.7614,0.41616,0.86627,0.99404,0.43714,0.000633983,0.000633983,0.000633983
5,41.6021,0.33409,0.85605,0.99574,0.43804,0.000622978,0.000622978,0.000622978
6,49.5267,0.28957,0.87053,0.99659,0.36987,0.000611972,0.000611972,0.000611972
7,57.4102,0.26941,0.85605,0.99489,0.41724,0.000600967,0.000600967,0.000600967
8,65.4533,0.24327,0.87649,0.99574,0.38996,0.000589961,0.000589961,0.000589961
9,73.5138,0.22497,0.87564,0.99659,0.36223,0.000578956,0.000578956,0.000578956
10,81.37,0.21463,0.86797,0.99574,0.35761,0.00056795,0.00056795,0.00056795
11,89.424,0.18318,0.86371,0.99659,0.41658,0.000556945,0.000556945,0.000556945
12,97.4791,0.19213,0.87053,0.99489,0.43047,0.00054594,0.00054594,0.00054594
13,105.486,0.1745,0.87223,0.99319,0.4502,0.000534934,0.000534934,0.000534934
14,113.526,0.17156,0.85094,0.99574,0.50906,0.000523928,0.000523928,0.000523928
15,121.574,0.17977,0.87053,0.99659,0.41222,0.000512923,0.000512923,0.000512923
16,129.638,0.17926,0.86116,0.99574,0.45484,0.000501917,0.000501917,0.000501917
17,137.684,0.17117,0.87308,0.99915,0.44482,0.000490912,0.000490912,0.000490912
18,145.717,0.15253,0.86882,0.9983,0.45594,0.000479907,0.000479907,0.000479907
19,153.775,0.14434,0.86882,0.9983,0.46193,0.000468901,0.000468901,0.000468901
20,161.744,0.15365,0.86457,0.99744,0.49863,0.000457895,0.000457895,0.000457895
21,169.756,0.15826,0.86712,0.99659,0.49757,0.00044689,0.00044689,0.00044689
22,177.693,0.14457,0.86542,0.99744,0.49345,0.000435884,0.000435884,0.000435884
23,185.602,0.15035,0.86968,0.99744,0.49189,0.000424879,0.000424879,0.000424879
24,193.705,0.14716,0.86712,0.99744,0.45149,0.000413873,0.000413873,0.000413873
25,201.778,0.13148,0.86797,0.99744,0.48335,0.000402868,0.000402868,0.000402868
26,209.732,0.13052,0.86797,0.9983,0.47236,0.000391862,0.000391862,0.000391862
27,217.663,0.12974,0.86797,0.9983,0.52749,0.000380857,0.000380857,0.000380857
28,225.541,0.12388,0.86627,0.99915,0.48219,0.000369851,0.000369851,0.000369851
29,233.474,0.12549,0.86627,0.99659,0.53241,0.000358846,0.000358846,0.000358846
30,241.546,0.11819,0.86712,0.99659,0.52481,0.00034784,0.00034784,0.00034784
31,249.505,0.12881,0.86201,0.99574,0.50934,0.000336835,0.000336835,0.000336835
32,257.694,0.11706,0.86882,0.9983,0.52611,0.000325829,0.000325829,0.000325829
33,265.605,0.12292,0.86968,0.99574,0.49569,0.000314824,0.000314824,0.000314824
34,273.575,0.12036,0.87138,0.99915,0.4894,0.000303818,0.000303818,0.000303818
35,281.472,0.11424,0.86712,0.99659,0.5577,0.000292813,0.000292813,0.000292813
36,289.373,0.11862,0.86712,0.99744,0.51152,0.000281807,0.000281807,0.000281807
37,297.29,0.10716,0.86457,0.99915,0.52119,0.000270802,0.000270802,0.000270802
38,305.222,0.09653,0.86286,0.99659,0.55794,0.000259796,0.000259796,0.000259796
39,313.296,0.10208,0.86286,0.9983,0.5957,0.000248791,0.000248791,0.000248791
40,321.236,0.10242,0.86542,0.9983,0.58634,0.000237785,0.000237785,0.000237785
41,329.172,0.10758,0.86627,0.9983,0.56519,0.00022678,0.00022678,0.00022678
42,337.089,0.1019,0.86627,0.99659,0.60277,0.000215774,0.000215774,0.000215774
43,345.081,0.10405,0.86797,0.99659,0.63783,0.000204769,0.000204769,0.000204769
44,352.817,0.09737,0.87053,0.9983,0.59596,0.000193763,0.000193763,0.000193763
45,360.817,0.09984,0.87138,0.9983,0.60287,0.000182758,0.000182758,0.000182758
46,368.707,0.10199,0.86882,0.99744,0.55466,0.000171752,0.000171752,0.000171752
47,376.95,0.09325,0.86882,0.99744,0.60006,0.000160747,0.000160747,0.000160747
48,384.892,0.09279,0.86968,0.9983,0.59118,0.000149741,0.000149741,0.000149741
49,392.804,0.09304,0.87053,0.9983,0.62519,0.000138736,0.000138736,0.000138736
50,400.715,0.088,0.87138,0.9983,0.6096,0.000127731,0.000127731,0.000127731
51,439.209,0.09656,0.86968,0.9983,0.60508,0.000116725,0.000116725,0.000116725
52,447.076,0.08909,0.87053,0.9983,0.62619,0.00010572,0.00010572,0.00010572
53,455.161,0.08574,0.87223,0.99744,0.61553,9.4714e-05,9.4714e-05,9.4714e-05
54,463.23,0.08997,0.87138,0.99744,0.60076,8.37085e-05,8.37085e-05,8.37085e-05
55,471.453,0.08316,0.86968,0.99744,0.63052,7.2703e-05,7.2703e-05,7.2703e-05
56,479.597,0.09204,0.87138,0.99744,0.61797,6.16975e-05,6.16975e-05,6.16975e-05
57,487.527,0.08763,0.86968,0.99744,0.62333,5.0692e-05,5.0692e-05,5.0692e-05
58,495.568,0.08619,0.87138,0.99659,0.6448,3.96865e-05,3.96865e-05,3.96865e-05
59,503.435,0.08115,0.87053,0.99659,0.63489,2.8681e-05,2.8681e-05,2.8681e-05
60,511.328,0.08553,0.86627,0.99659,0.63447,1.76755e-05,1.76755e-05,1.76755e-05
