epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.86545,1.98918,0.47253,0.89011,1.50327,0.000234098,0.000234098,0.000234098
2,13.5537,1.32309,0.68132,0.95604,0.91057,0.000466256,0.000466256,0.000466256
3,16.8769,0.82279,0.79853,0.98168,0.63478,0.000692523,0.000692523,0.000692523
4,20.154,0.53837,0.82051,0.99267,0.43195,0.000687493,0.000687493,0.000687493
5,23.5641,0.38624,0.88278,1,0.31979,0.000678657,0.000678657,0.000678657
6,26.8675,0.29518,0.85714,0.98901,0.50829,0.000669821,0.000669821,0.000669821
7,30.2418,0.21721,0.89011,0.98901,0.33108,0.000660986,0.000660986,0.000660986
8,33.4693,0.21431,0.92674,0.99267,0.30947,0.00065215,0.00065215,0.00065215
9,36.8153,0.146,0.91575,0.99634,0.26525,0.000643314,0.000643314,0.000643314
10,40.11,0.12408,0.92674,0.99634,0.2803,0.000634478,0.000634478,0.000634478
11,43.5557,0.12227,0.91941,0.99267,0.29778,0.000625642,0.000625642,0.000625642
12,46.9087,0.13747,0.91209,0.99634,0.29698,0.000616807,0.000616807,0.000616807
13,50.094,0.09822,0.9011,0.98901,0.26774,0.000607971,0.000607971,0.000607971
14,53.3683,0.089,0.9011,0.98901,0.30831,0.000599135,0.000599135,0.000599135
15,56.7263,0.11324,0.91941,0.99634,0.2784,0.0005903,0.0005903,0.0005903
16,59.9512,0.07972,0.92674,0.99267,0.27114,0.000581464,0.000581464,0.000581464
17,63.2581,0.06762,0.91941,0.99267,0.2753,0.000572628,0.000572628,0.000572628
18,66.487,0.08299,0.91575,0.98901,0.3249,0.000563792,0.000563792,0.000563792
19,69.9194,0.06198,0.93407,0.98901,0.28512,0.000554956,0.000554956,0.000554956
20,73.1723,0.08114,0.9304,0.99267,0.23405,0.000546121,0.000546121,0.000546121
21,76.4994,0.06241,0.92674,0.99634,0.33211,0.000537285,0.000537285,0.000537285
22,79.8644,0.08833,0.92308,0.99267,0.27829,0.000528449,0.000528449,0.000528449
23,83.2357,0.0543,0.92308,1,0.25416,0.000519613,0.000519613,0.000519613
24,86.5366,0.06633,0.93773,0.99634,0.25818,0.000510778,0.000510778,0.000510778
25,89.8535,0.04974,0.92674,0.99634,0.25963,0.000501942,0.000501942,0.000501942
26,93.201,0.06156,0.93407,0.99267,0.25953,0.000493106,0.000493106,0.000493106
27,96.666,0.0439,0.94505,0.98535,0.33807,0.000484271,0.000484271,0.000484271
28,99.9203,0.05294,0.9304,0.98535,0.29941,0.000475435,0.000475435,0.000475435
29,103.244,0.06364,0.91941,0.98901,0.28297,0.000466599,0.000466599,0.000466599
30,106.552,0.04377,0.92308,0.98901,0.29549,0.000457763,0.000457763,0.000457763
31,109.838,0.02774,0.93407,0.98901,0.22837,0.000448928,0.000448928,0.000448928
32,113.127,0.04061,0.95238,0.99267,0.18433,0.000440092,0.000440092,0.000440092
33,116.526,0.04274,0.94505,0.99267,0.21042,0.000431256,0.000431256,0.000431256
34,119.815,0.03827,0.94505,0.99634,0.21593,0.00042242,0.00042242,0.00042242
35,123.141,0.0388,0.94505,0.99267,0.23196,0.000413584,0.000413584,0.000413584
36,126.38,0.03844,0.94505,0.99267,0.20967,0.000404749,0.000404749,0.000404749
37,129.722,0.02745,0.95238,0.98901,0.2303,0.000395913,0.000395913,0.000395913
38,132.988,0.02682,0.94505,0.98535,0.23265,0.000387077,0.000387077,0.000387077
39,136.369,0.03884,0.94505,0.98901,0.22649,0.000378242,0.000378242,0.000378242
40,139.551,0.02885,0.94505,0.98535,0.21547,0.000369406,0.000369406,0.000369406
41,142.92,0.03295,0.94872,0.98901,0.21386,0.00036057,0.00036057,0.00036057
42,146.344,0.01731,0.94505,0.99267,0.21297,0.000351734,0.000351734,0.000351734
43,149.665,0.02356,0.94872,0.98901,0.23308,0.000342899,0.000342899,0.000342899
44,152.91,0.0136,0.95238,0.99267,0.2218,0.000334063,0.000334063,0.000334063
45,156.188,0.01636,0.95604,0.98535,0.23515,0.000325227,0.000325227,0.000325227
46,159.58,0.02657,0.95971,0.99267,0.24772,0.000316391,0.000316391,0.000316391
47,162.875,0.02141,0.95238,0.99267,0.25055,0.000307555,0.000307555,0.000307555
48,166.145,0.01328,0.94872,0.99267,0.26505,0.00029872,0.00029872,0.00029872
49,169.534,0.01659,0.95238,0.99634,0.22587,0.000289884,0.000289884,0.000289884
50,173.091,0.02509,0.94872,0.99267,0.23468,0.000281048,0.000281048,0.000281048
51,176.544,0.03212,0.95238,0.98901,0.20756,0.000272212,0.000272212,0.000272212
52,180.022,0.01791,0.94505,0.99267,0.22564,0.000263377,0.000263377,0.000263377
53,183.301,0.02705,0.95604,0.99267,0.21822,0.000254541,0.000254541,0.000254541
54,186.728,0.01976,0.94872,0.99267,0.24479,0.000245705,0.000245705,0.000245705
55,189.988,0.01577,0.94505,0.99267,0.21878,0.000236869,0.000236869,0.000236869
56,193.283,0.0357,0.94505,0.99267,0.22836,0.000228034,0.000228034,0.000228034
57,196.636,0.0323,0.94139,0.99267,0.23775,0.000219198,0.000219198,0.000219198
58,199.968,0.01042,0.94505,0.98901,0.24013,0.000210362,0.000210362,0.000210362
59,203.246,0.02265,0.94505,0.98901,0.21833,0.000201527,0.000201527,0.000201527
60,206.549,0.02001,0.94872,0.99267,0.21712,0.000192691,0.000192691,0.000192691
61,209.837,0.0474,0.94505,0.99267,0.25684,0.000183855,0.000183855,0.000183855
62,213.175,0.0362,0.94139,0.99267,0.23736,0.000175019,0.000175019,0.000175019
63,216.486,0.012,0.94872,0.98901,0.27291,0.000166183,0.000166183,0.000166183
64,219.803,0.04145,0.94872,0.98901,0.26001,0.000157348,0.000157348,0.000157348
65,223.273,0.01755,0.94505,0.98535,0.29624,0.000148512,0.000148512,0.000148512
66,226.744,0.05079,0.93773,0.98901,0.25907,0.000139676,0.000139676,0.000139676
67,230.075,0.02626,0.94139,0.98901,0.29515,0.000130841,0.000130841,0.000130841
68,233.628,0.01255,0.94505,0.98901,0.28091,0.000122005,0.000122005,0.000122005
69,237.121,0.02189,0.95238,0.98901,0.27981,0.000113169,0.000113169,0.000113169
70,240.499,0.02506,0.95238,0.98901,0.23986,0.000104333,0.000104333,0.000104333
71,273.811,0.01082,0.94505,0.98901,0.24234,9.54975e-05,9.54975e-05,9.54975e-05
72,277.034,0.01188,0.95238,0.98901,0.28059,8.66618e-05,8.66618e-05,8.66618e-05
73,280.379,0.01815,0.95238,0.99267,0.2722,7.7826e-05,7.7826e-05,7.7826e-05
74,283.72,0.006,0.94872,0.98901,0.26059,6.89903e-05,6.89903e-05,6.89903e-05
75,287.021,0.01847,0.94139,0.98901,0.26499,6.01545e-05,6.01545e-05,6.01545e-05
76,290.381,0.00916,0.95238,0.98901,0.24387,5.13187e-05,5.13187e-05,5.13187e-05
77,293.723,0.00452,0.95238,0.99267,0.24732,4.2483e-05,4.2483e-05,4.2483e-05
78,297.024,0.01228,0.94872,0.98901,0.29077,3.36472e-05,3.36472e-05,3.36472e-05
79,300.354,0.01235,0.95238,0.99267,0.25427,2.48115e-05,2.48115e-05,2.48115e-05
80,303.726,0.01652,0.95238,0.98901,0.24013,1.59757e-05,1.59757e-05,1.59757e-05
