epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.9885,1.73065,0.35398,0.93805,1.57614,0.00024,0.00024,0.00024
2,7.28258,1.39928,0.62832,0.9469,1.16231,0.000483936,0.000483936,0.000483936
3,8.51627,0.99635,0.74336,0.9823,0.77415,0.000721685,0.000721685,0.000721685
4,9.71757,0.60972,0.71681,0.99115,0.80198,0.000953246,0.000953246,0.000953246
5,10.9053,0.42058,0.82301,1,0.53636,0.0009505,0.0009505,0.0009505
6,12.1143,0.31502,0.84071,0.99115,0.49303,0.000938125,0.000938125,0.000938125
7,13.4531,0.21699,0.84071,1,0.504,0.00092575,0.00092575,0.00092575
8,14.8425,0.18436,0.86726,1,0.33524,0.000913375,0.000913375,0.000913375
9,16.0945,0.11575,0.88496,1,0.37278,0.000901,0.000901,0.000901
10,17.3543,0.11017,0.92035,1,0.26127,0.000888625,0.000888625,0.000888625
11,18.5675,0.09319,0.86726,1,0.31346,0.00087625,0.00087625,0.00087625
12,19.7551,0.0985,0.92035,1,0.26354,0.000863875,0.000863875,0.000863875
13,20.9523,0.08865,0.9292,1,0.22817,0.0008515,0.0008515,0.0008515
14,22.1458,0.06017,0.87611,1,0.3106,0.000839125,0.000839125,0.000839125
15,23.3278,0.1001,0.90265,1,0.30104,0.00082675,0.00082675,0.00082675
16,24.552,0.11878,0.88496,1,0.35555,0.000814375,0.000814375,0.000814375
17,25.7279,0.09225,0.9115,1,0.2298,0.000802,0.000802,0.000802
18,26.8956,0.08568,0.93805,1,0.14463,0.000789625,0.000789625,0.000789625
19,28.1004,0.07005,0.9292,1,0.19492,0.00077725,0.00077725,0.00077725
20,29.3323,0.0462,0.9115,1,0.24437,0.000764875,0.000764875,0.000764875
21,30.4936,0.04519,0.92035,1,0.27646,0.0007525,0.0007525,0.0007525
22,31.6639,0.04786,0.93805,1,0.20093,0.000740125,0.000740125,0.000740125
23,32.8518,0.04366,0.93805,1,0.16828,0.00072775,0.00072775,0.00072775
24,34.0675,0.05266,0.89381,1,0.20069,0.000715375,0.000715375,0.000715375
25,35.2487,0.05103,0.9469,1,0.14834,0.000703,0.000703,0.000703
26,36.4256,0.03695,0.92035,1,0.18486,0.000690625,0.000690625,0.000690625
27,37.6116,0.04383,0.9292,1,0.25721,0.00067825,0.00067825,0.00067825
28,38.8032,0.02735,0.89381,1,0.35008,0.000665875,0.000665875,0.000665875
29,39.9836,0.03519,0.92035,1,0.2772,0.0006535,0.0006535,0.0006535
30,41.1544,0.02735,0.9292,1,0.23528,0.000641125,0.000641125,0.000641125
31,42.3257,0.03959,0.90265,1,0.25178,0.00062875,0.00062875,0.00062875
32,43.5397,0.03259,0.90265,1,0.3269,0.000616375,0.000616375,0.000616375
33,44.7223,0.03088,0.88496,1,0.3115,0.000604,0.000604,0.000604
34,45.9139,0.02955,0.86726,1,0.29148,0.000591625,0.000591625,0.000591625
35,47.0765,0.03185,0.90265,1,0.23548,0.00057925,0.00057925,0.00057925
36,48.2854,0.03156,0.86726,1,0.27567,0.000566875,0.000566875,0.000566875
37,49.4779,0.02986,0.92035,1,0.20348,0.0005545,0.0005545,0.0005545
38,50.6359,0.03016,0.89381,1,0.23135,0.000542125,0.000542125,0.000542125
39,51.8049,0.03014,0.89381,1,0.21013,0.00052975,0.00052975,0.00052975
40,52.9982,0.01267,0.90265,1,0.21859,0.000517375,0.000517375,0.000517375
41,54.1791,0.03265,0.9115,1,0.19914,0.000505,0.000505,0.000505
42,55.3684,0.02885,0.92035,1,0.17245,0.000492625,0.000492625,0.000492625
43,56.5565,0.03663,0.9292,1,0.1773,0.00048025,0.00048025,0.00048025
44,57.7474,0.01518,0.90265,1,0.22924,0.000467875,0.000467875,0.000467875
45,58.922,0.0193,0.90265,1,0.19322,0.0004555,0.0004555,0.0004555
46,60.1034,0.02443,0.9115,1,0.20238,0.000443125,0.000443125,0.000443125
47,61.2837,0.01567,0.92035,1,0.20776,0.00043075,0.00043075,0.00043075
48,62.4849,0.01194,0.9115,1,0.20218,0.000418375,0.000418375,0.000418375
49,63.6562,0.00962,0.9115,1,0.17733,0.000406,0.000406,0.000406
50,64.8464,0.01967,0.90265,1,0.19254,0.000393625,0.000393625,0.000393625
51,66.0396,0.03452,0.90265,1,0.21206,0.00038125,0.00038125,0.00038125
52,67.2286,0.00829,0.9115,1,0.22739,0.000368875,0.000368875,0.000368875
53,68.4078,0.01172,0.90265,1,0.2328,0.0003565,0.0003565,0.0003565
54,69.6005,0.01175,0.92035,1,0.23635,0.000344125,0.000344125,0.000344125
55,70.7899,0.01179,0.92035,1,0.25621,0.00033175,0.00033175,0.00033175
56,71.9881,0.01626,0.9115,1,0.27944,0.000319375,0.000319375,0.000319375
57,73.2364,0.0121,0.9292,1,0.25302,0.000307,0.000307,0.000307
58,74.5021,0.02563,0.9115,1,0.28014,0.000294625,0.000294625,0.000294625
59,75.7609,0.00591,0.9115,1,0.23467,0.00028225,0.00028225,0.00028225
60,77.0454,0.00609,0.92035,1,0.21859,0.000269875,0.000269875,0.000269875
61,78.2388,0.01005,0.9115,1,0.20654,0.0002575,0.0002575,0.0002575
62,79.4306,0.0164,0.9115,1,0.20284,0.000245125,0.000245125,0.000245125
63,80.6228,0.00963,0.9115,1,0.19948,0.00023275,0.00023275,0.00023275
64,81.8301,0.00514,0.90265,1,0.19716,0.000220375,0.000220375,0.000220375
65,83.0102,0.01151,0.92035,1,0.19964,0.000208,0.000208,0.000208
66,84.1924,0.00633,0.92035,1,0.19103,0.000195625,0.000195625,0.000195625
67,85.3734,0.01068,0.9292,1,0.18119,0.00018325,0.00018325,0.00018325
68,86.5912,0.01778,0.9115,1,0.20108,0.000170875,0.000170875,0.000170875
69,87.7563,0.00499,0.93805,1,0.16281,0.0001585,0.0001585,0.0001585
70,88.9649,0.0053,0.9292,1,0.16106,0.000146125,0.000146125,0.000146125
71,117.693,0.01268,0.92035,1,0.20622,0.00013375,0.00013375,0.00013375
72,118.891,0.01402,0.93805,1,0.20686,0.000121375,0.000121375,0.000121375
73,120.064,0.02498,0.9469,1,0.17246,0.000109,0.000109,0.000109
74,121.282,0.01588,0.9469,1,0.16621,9.6625e-05,9.6625e-05,9.6625e-05
75,122.476,0.0068,0.9469,1,0.21558,8.425e-05,8.425e-05,8.425e-05
76,123.711,0.00614,0.95575,1,0.18913,7.1875e-05,7.1875e-05,7.1875e-05
77,124.898,0.00858,0.9292,1,0.22274,5.95e-05,5.95e-05,5.95e-05
78,126.092,0.01253,0.9469,1,0.17732,4.7125e-05,4.7125e-05,4.7125e-05
79,127.262,0.01254,0.9469,1,0.1992,3.475e-05,3.475e-05,3.475e-05
80,128.489,0.00951,0.9292,1,0.24019,2.2375e-05,2.2375e-05,2.2375e-05
