epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,7.32195,1.73065,0.35398,0.93805,1.57614,0.00024,0.00024,0.00024
2,9.83469,1.39928,0.62832,0.9469,1.16231,0.000483936,0.000483936,0.000483936
3,11.4416,0.99635,0.74336,0.9823,0.77415,0.000721685,0.000721685,0.000721685
4,13.0261,0.60972,0.71681,0.99115,0.80198,0.000953246,0.000953246,0.000953246
5,14.5612,0.42058,0.82301,1,0.53636,0.0009505,0.0009505,0.0009505
6,16.1384,0.31502,0.84071,0.99115,0.49303,0.000938125,0.000938125,0.000938125
7,17.7148,0.21699,0.84071,1,0.504,0.00092575,0.00092575,0.00092575
8,19.2894,0.18436,0.86726,1,0.33524,0.000913375,0.000913375,0.000913375
9,20.8795,0.11575,0.88496,1,0.37278,0.000901,0.000901,0.000901
10,22.4739,0.11017,0.92035,1,0.26127,0.000888625,0.000888625,0.000888625
11,24.1161,0.09319,0.86726,1,0.31346,0.00087625,0.00087625,0.00087625
12,25.6467,0.0985,0.92035,1,0.26354,0.000863875,0.000863875,0.000863875
13,27.2336,0.08865,0.9292,1,0.22817,0.0008515,0.0008515,0.0008515
14,28.8154,0.06017,0.87611,1,0.3106,0.000839125,0.000839125,0.000839125
15,30.3513,0.1001,0.90265,1,0.30104,0.00082675,0.00082675,0.00082675
16,31.9127,0.11878,0.88496,1,0.35555,0.000814375,0.000814375,0.000814375
17,33.4567,0.09225,0.9115,1,0.2298,0.000802,0.000802,0.000802
18,34.9801,0.08568,0.93805,1,0.14463,0.000789625,0.000789625,0.000789625
19,36.5724,0.07005,0.9292,1,0.19492,0.00077725,0.00077725,0.00077725
20,38.1358,0.0462,0.9115,1,0.24437,0.000764875,0.000764875,0.000764875
21,39.6799,0.04519,0.92035,1,0.27646,0.0007525,0.0007525,0.0007525
22,41.213,0.04786,0.93805,1,0.20093,0.000740125,0.000740125,0.000740125
23,42.7899,0.04366,0.93805,1,0.16828,0.00072775,0.00072775,0.00072775
24,44.3667,0.05266,0.89381,1,0.20069,0.000715375,0.000715375,0.000715375
25,45.9124,0.05103,0.9469,1,0.14834,0.000703,0.000703,0.000703
26,47.4933,0.03695,0.92035,1,0.18486,0.000690625,0.000690625,0.000690625
