epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.79866,1.81347,0.39264,0.88957,1.46351,0.000294583,0.000294583,0.000294583
2,11.8952,1.42003,0.48466,0.92638,1.20909,0.000591667,0.000591667,0.000591667
3,14.0976,1.08373,0.65031,0.96933,1.02397,0.000882752,0.000882752,0.000882752
4,16.3276,0.75323,0.7362,0.9816,0.72372,0.000882003,0.000882003,0.000882003
5,18.5929,0.59667,0.69325,0.98773,0.70186,0.000873004,0.000873004,0.000873004
6,20.7897,0.36275,0.76074,0.99387,0.69016,0.000864004,0.000864004,0.000864004
7,23.0971,0.31579,0.7546,1,0.85243,0.000855005,0.000855005,0.000855005
8,25.3563,0.24781,0.77301,0.99387,0.87202,0.000846006,0.000846006,0.000846006
9,27.6369,0.21559,0.77914,0.98773,0.81815,0.000837007,0.000837007,0.000837007
10,29.9895,0.21265,0.80368,0.99387,0.73873,0.000828008,0.000828008,0.000828008
11,32.3054,0.19228,0.79755,0.98773,1.15011,0.000819009,0.000819009,0.000819009
12,34.6123,0.15093,0.77301,0.99387,0.99012,0.00081001,0.00081001,0.00081001
13,36.9103,0.18919,0.77914,0.99387,0.81235,0.000801011,0.000801011,0.000801011
14,39.2187,0.13109,0.80368,0.98773,1.08333,0.000792012,0.000792012,0.000792012
15,41.3887,0.13525,0.76074,0.98773,1.12164,0.000783013,0.000783013,0.000783013
16,43.6185,0.11965,0.79141,0.99387,1.3976,0.000774013,0.000774013,0.000774013
17,45.8054,0.12877,0.77914,0.9816,1.33296,0.000765014,0.000765014,0.000765014
18,48.0697,0.11164,0.76687,0.96319,1.51925,0.000756015,0.000756015,0.000756015
19,50.2352,0.12131,0.74847,0.97546,1.06295,0.000747016,0.000747016,0.000747016
20,52.498,0.11793,0.79755,0.97546,1.80599,0.000738017,0.000738017,0.000738017
21,54.7226,0.11063,0.79755,0.97546,1.16695,0.000729018,0.000729018,0.000729018
22,56.9526,0.10467,0.79141,0.97546,1.17869,0.000720019,0.000720019,0.000720019
23,59.1638,0.11493,0.77301,0.96319,1.02286,0.00071102,0.00071102,0.00071102
24,61.3741,0.07599,0.80982,0.97546,1.06671,0.000702021,0.000702021,0.000702021
25,63.6135,0.07736,0.80368,0.9816,1.03695,0.000693022,0.000693022,0.000693022
26,65.8232,0.06882,0.79141,0.9816,1.06779,0.000684022,0.000684022,0.000684022
27,68.0493,0.09984,0.7546,0.98773,1.11058,0.000675023,0.000675023,0.000675023
28,70.2779,0.06835,0.77301,0.9816,1.50292,0.000666024,0.000666024,0.000666024
29,72.5094,0.08923,0.79755,0.97546,1.39539,0.000657025,0.000657025,0.000657025
30,74.7226,0.07442,0.76687,0.97546,1.2827,0.000648026,0.000648026,0.000648026
31,76.9873,0.06971,0.76687,0.9816,1.1556,0.000639027,0.000639027,0.000639027
32,79.2213,0.06309,0.74847,0.98773,1.58542,0.000630028,0.000630028,0.000630028
33,81.433,0.047,0.77914,0.9816,1.15739,0.000621029,0.000621029,0.000621029
34,83.6383,0.07725,0.77914,0.98773,1.2387,0.00061203,0.00061203,0.00061203
35,85.914,0.06059,0.76074,0.97546,1.53243,0.000603031,0.000603031,0.000603031
36,88.1455,0.09419,0.77914,0.9816,1.14619,0.000594031,0.000594031,0.000594031
37,90.3691,0.07529,0.78528,0.97546,1.13984,0.000585032,0.000585032,0.000585032
38,92.6031,0.07169,0.76687,0.97546,1.47494,0.000576033,0.000576033,0.000576033
39,94.8778,0.04995,0.77301,0.96933,1.2924,0.000567034,0.000567034,0.000567034
40,97.0503,0.0951,0.80982,0.97546,1.20491,0.000558035,0.000558035,0.000558035
41,99.2605,0.078,0.78528,0.96933,1.26696,0.000549036,0.000549036,0.000549036
42,101.521,0.05392,0.79141,0.96319,1.24419,0.000540037,0.000540037,0.000540037
43,103.784,0.05854,0.79141,0.9816,1.49038,0.000531038,0.000531038,0.000531038
44,106.12,0.06671,0.77914,0.97546,1.20088,0.000522039,0.000522039,0.000522039
45,108.519,0.04169,0.80368,0.9816,1.56353,0.00051304,0.00051304,0.00051304
