epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,874.258,1.35345,1.76171,1.47741,0.58649,0.58656,0.5819,0.36971,1.2866,1.41263,1.55895,0.000370281,0.000370281,0.000370281
2,1702.71,1.35995,1.5765,1.48772,0.65548,0.63366,0.63816,0.40779,1.24092,1.24858,1.52602,0.000691734,0.000691734,0.000691734
3,881.624,1.30661,1.46284,1.45125,0.67783,0.66024,0.65966,0.43645,1.1606,1.13695,1.43868,0.000964303,0.000964303,0.000964303
4,1759.01,1.24711,1.33072,1.40629,0.71531,0.67204,0.70429,0.46545,1.12291,1.03792,1.41477,0.000891022,0.000891022,0.000891022
5,2627.15,1.21924,1.26624,1.38301,0.7449,0.69281,0.72793,0.48964,1.07993,0.96644,1.36429,0.000817696,0.000817696,0.000817696
6,3444.12,1.21069,1.1484,1.40745,0.73185,0.70117,0.73094,0.49809,1.06916,0.93713,1.35656,0.00074437,0.00074437,0.00074437
7,4270.14,1.17105,1.07649,1.3815,0.75262,0.70987,0.74718,0.51455,1.0443,0.8958,1.33678,0.000671044,0.000671044,0.000671044
8,5096.93,1.13105,1.00782,1.34457,0.77624,0.71683,0.76614,0.53442,1.01376,0.84163,1.30672,0.000597718,0.000597718,0.000597718
9,5914.95,1.10152,0.95369,1.32336,0.79894,0.72638,0.77832,0.54274,0.99469,0.81836,1.29,0.000524392,0.000524392,0.000524392
10,6725.38,1.07411,0.89905,1.30111,0.7808,0.74114,0.7853,0.55176,0.97887,0.79551,1.2788,0.000451066,0.000451066,0.000451066
11,7539.19,1.04701,0.85741,1.27993,0.8002,0.73709,0.7867,0.55805,0.96466,0.7709,1.26422,0.00037774,0.00037774,0.00037774
12,8351.89,1.0165,0.81076,1.25552,0.80486,0.75058,0.80024,0.56763,0.95378,0.74653,1.25621,0.000304414,0.000304414,0.000304414
13,9176.97,0.98834,0.76706,1.23664,0.81627,0.74164,0.80216,0.57485,0.9409,0.73794,1.24089,0.000231088,0.000231088,0.000231088
14,9997.06,0.96473,0.73091,1.21944,0.8202,0.74883,0.80695,0.57921,0.93185,0.72963,1.23659,0.000157762,0.000157762,0.000157762
15,10821.7,0.94318,0.69222,1.20416,0.83279,0.74232,0.80908,0.58035,0.92595,0.72419,1.23135,8.4436e-05,8.4436e-05,8.4436e-05
