epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0377,1.16688,1.68937,1.71004,0.93047,0.85714,0.9119,0.47022,1.54968,1.88117,2.46008,0.00066416,0.00066416,0.00066416
2,73.1,1.18781,1.33663,1.69479,0.95652,0.79464,0.87412,0.4358,1.65788,1.63451,2.73677,0.00132953,0.00132953,0.00132953
3,105.01,1.24077,1.22688,1.7201,0.84746,0.84821,0.88648,0.46372,1.48891,1.37206,2.22638,0.0019897,0.0019897,0.0019897
4,136.808,1.21845,1.1715,1.71027,0.81035,0.66964,0.78374,0.39287,1.6179,1.81016,2.35961,0.00198246,0.00198246,0.00198246
5,168.604,1.19205,1.05256,1.6911,0.85203,0.79464,0.91102,0.44303,1.68145,1.13976,2.36159,0.0019689,0.0019689,0.0019689
6,200.232,1.13234,1.02208,1.63947,0.84653,0.9375,0.92957,0.55052,1.36557,0.97424,2.09035,0.00195155,0.00195155,0.00195155
7,232.03,1.11474,0.99478,1.63265,0.93028,0.91071,0.94487,0.59719,1.262,0.89273,1.99148,0.00193048,0.00193048,0.00193048
8,263.542,1.1096,0.95703,1.603,0.94517,0.92352,0.94728,0.59477,1.31894,0.75547,1.96795,0.00190578,0.00190578,0.00190578
9,295.273,1.08885,0.91987,1.59753,0.89895,0.91964,0.92867,0.56846,1.31963,0.86684,2.029,0.00187754,0.00187754,0.00187754
10,326.871,1.01967,0.89583,1.55202,0.89979,0.88191,0.92562,0.54465,1.37668,0.86806,2.0618,0.00184588,0.00184588,0.00184588
11,358.532,1.02154,0.84327,1.53815,0.90142,0.88393,0.93018,0.5744,1.31337,0.83806,2.02652,0.00181093,0.00181093,0.00181093
12,390.082,1.03803,0.87861,1.56425,0.97759,0.9375,0.96032,0.59888,1.32391,0.82086,2.00649,0.00177281,0.00177281,0.00177281
13,421.713,0.99074,0.81002,1.51592,0.9815,0.94718,0.97775,0.63144,1.21113,0.66846,1.90464,0.00173168,0.00173168,0.00173168
14,453.208,1.02634,0.81049,1.54516,0.96759,0.92857,0.96631,0.61681,1.24092,0.69281,1.88213,0.0016877,0.0016877,0.0016877
15,484.614,0.99286,0.7933,1.50594,0.9738,0.92857,0.95549,0.61331,1.25932,0.70359,1.8679,0.00164105,0.00164105,0.00164105
16,516.087,0.98616,0.79066,1.49578,0.95235,0.86607,0.96266,0.5969,1.30346,0.79432,1.9336,0.00159191,0.00159191,0.00159191
17,547.963,0.95788,0.72282,1.47619,0.96892,0.92857,0.97027,0.6449,1.14293,0.65955,1.82005,0.00154047,0.00154047,0.00154047
18,579.693,0.94442,0.75777,1.46402,0.99056,0.93658,0.97429,0.58472,1.28329,0.69399,1.89966,0.00148694,0.00148694,0.00148694
19,611.462,0.96526,0.76309,1.48214,0.97202,0.93053,0.97172,0.60515,1.27086,0.7215,1.88899,0.00143152,0.00143152,0.00143152
20,643.289,0.90219,0.73118,1.44502,0.99442,0.94643,0.96973,0.65828,1.13394,0.61617,1.75325,0.00137444,0.00137444,0.00137444
21,675.149,0.91725,0.71642,1.45521,0.97024,0.95536,0.96825,0.62454,1.17306,0.6783,1.8431,0.00131593,0.00131593,0.00131593
22,706.944,0.88713,0.6924,1.42911,0.99052,0.93252,0.97842,0.65488,1.1781,0.56763,1.80467,0.0012562,0.0012562,0.0012562
23,738.494,0.88728,0.66362,1.41669,0.9892,0.95536,0.97214,0.62187,1.22494,0.62127,1.88652,0.00119551,0.00119551,0.00119551
24,770.308,0.8667,0.67464,1.4134,0.98852,0.91964,0.95281,0.65677,1.09963,0.60378,1.76047,0.00113408,0.00113408,0.00113408
25,801.974,0.86702,0.65275,1.40694,0.97989,0.95536,0.96368,0.65795,1.10848,0.63272,1.73376,0.00107216,0.00107216,0.00107216
26,833.593,0.82219,0.62203,1.36991,0.98146,0.94526,0.97893,0.6868,1.08784,0.56064,1.71984,0.00101,0.00101,0.00101
27,865.371,0.82238,0.64407,1.36682,0.98095,0.91942,0.96276,0.651,1.14382,0.61921,1.78264,0.000947837,0.000947837,0.000947837
28,897.095,0.82857,0.61736,1.37674,0.9673,0.92857,0.96542,0.68364,1.05275,0.58432,1.68478,0.00088592,0.00088592,0.00088592
29,928.707,0.82399,0.59879,1.36318,0.99241,0.94643,0.97394,0.69214,1.08645,0.53937,1.70601,0.000824492,0.000824492,0.000824492
30,960.386,0.81115,0.6003,1.37322,0.99072,0.95373,0.98516,0.67629,1.09973,0.5363,1.75564,0.000763797,0.000763797,0.000763797
31,991.9,0.8152,0.58855,1.36805,0.98895,0.95536,0.98741,0.70448,1.04646,0.51313,1.67468,0.000704073,0.000704073,0.000704073
32,1023.53,0.79092,0.59207,1.35549,0.97282,0.95874,0.98378,0.69635,1.01622,0.50107,1.66836,0.000645557,0.000645557,0.000645557
33,1055.25,0.77606,0.57097,1.34004,0.98785,0.95536,0.98477,0.69083,1.05404,0.51494,1.68708,0.000588479,0.000588479,0.000588479
34,1086.98,0.77609,0.5725,1.33456,0.97959,0.94643,0.96984,0.69421,1.04962,0.52941,1.67137,0.000533064,0.000533064,0.000533064
35,1118.56,0.77053,0.58302,1.34925,0.98846,0.95536,0.98478,0.68552,1.06036,0.49776,1.67679,0.000479531,0.000479531,0.000479531
36,1149.99,0.77083,0.57402,1.33603,0.99756,0.95536,0.97486,0.68903,1.0486,0.51225,1.6793,0.000428093,0.000428093,0.000428093
37,1181.51,0.73994,0.5388,1.32026,0.98914,0.95536,0.97828,0.71409,0.99652,0.49623,1.63736,0.00037895,0.00037895,0.00037895
38,1212.86,0.75027,0.55179,1.31648,0.99064,0.94491,0.98079,0.69468,1.036,0.51032,1.70492,0.000332298,0.000332298,0.000332298
39,1244.2,0.73502,0.53832,1.30844,0.98163,0.95416,0.97627,0.71024,0.98985,0.47718,1.63671,0.000288321,0.000288321,0.000288321
40,1275.6,0.74325,0.5419,1.31434,0.99064,0.94477,0.97347,0.71012,0.99529,0.47072,1.62483,0.000247192,0.000247192,0.000247192
41,1305.06,0.65723,0.40348,1.40071,0.99914,0.96429,0.98111,0.71307,0.9627,0.46021,1.60616,0.000209073,0.000209073,0.000209073
42,1334.37,0.62462,0.36882,1.33865,0.9818,0.96319,0.98013,0.72881,0.95689,0.46454,1.6039,0.000174115,0.000174115,0.000174115
43,1363.81,0.60073,0.35011,1.33521,0.98801,0.94643,0.9804,0.7203,0.96075,0.47087,1.60809,0.000142456,0.000142456,0.000142456
44,1393.01,0.58912,0.34002,1.30145,0.97965,0.95536,0.9814,0.72935,0.96032,0.46045,1.60899,0.000114221,0.000114221,0.000114221
45,1422.32,0.59621,0.34502,1.33944,0.9797,0.95536,0.98067,0.71842,0.9769,0.47214,1.61477,8.95213e-05,8.95213e-05,8.95213e-05
46,1451.61,0.58316,0.3359,1.32383,0.98135,0.95536,0.98104,0.72091,0.97561,0.463,1.61727,6.8454e-05,6.8454e-05,6.8454e-05
47,1481,0.58671,0.33743,1.31551,0.97916,0.95536,0.98024,0.72411,0.96768,0.46186,1.61449,5.11027e-05,5.11027e-05,5.11027e-05
48,1510.32,0.57914,0.3245,1.30395,0.98689,0.95536,0.98018,0.71774,0.98587,0.4674,1.63944,3.75356e-05,3.75356e-05,3.75356e-05
49,1539.78,0.56806,0.32694,1.30158,0.99071,0.95193,0.97884,0.72078,0.98164,0.46966,1.62145,2.78064e-05,2.78064e-05,2.78064e-05
50,1569.09,0.57453,0.32516,1.29282,0.97291,0.96196,0.98037,0.72088,0.97862,0.4641,1.6344,2.19535e-05,2.19535e-05,2.19535e-05
