epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,656.07,1.31681,1.9031,1.4097,0.41019,0.32943,0.28238,0.16594,1.32904,7.97016,1.48126,0.000208258,0.000208258,0.000208258
2,8120.87,1.35344,1.60315,1.44811,0.52368,0.35495,0.33106,0.19706,1.31405,6.4239,1.47202,0.000412085,0.000412085,0.000412085
3,8746.44,1.34979,1.5435,1.44995,0.49518,0.35592,0.34857,0.20863,1.29589,8.49322,1.44646,0.000598181,0.000598181,0.000598181
4,9423.02,1.31039,1.43251,1.41256,0.59047,0.35575,0.38411,0.22792,1.26501,8.29204,1.42362,0.000565915,0.000565915,0.000565915
5,10106.9,1.25472,1.34128,1.38238,0.56849,0.39665,0.39906,0.24764,1.20107,7.27984,1.38079,0.000522637,0.000522637,0.000522637
6,10699.9,1.21681,1.16893,1.40473,0.59562,0.41979,0.45695,0.28198,1.18318,7.76417,1.36631,0.000470313,0.000470313,0.000470313
7,11293.8,1.16999,1.06675,1.37036,0.61992,0.41243,0.44917,0.27892,1.14466,8.01432,1.32966,0.000411227,0.000411227,0.000411227
8,12099.6,1.12866,0.99107,1.33793,0.59798,0.48243,0.49221,0.30914,1.13262,8.75973,1.31593,0.000347963,0.000347963,0.000347963
9,12774.1,1.08434,0.92042,1.30776,0.62631,0.47407,0.49928,0.32106,1.08466,8.55044,1.28462,0.000283287,0.000283287,0.000283287
10,13365.9,1.04679,0.85582,1.27571,0.63885,0.49227,0.52142,0.3358,1.0668,9.795,1.27112,0.000220023,0.000220023,0.000220023
11,13963.2,1.00934,0.79893,1.24911,0.62746,0.50573,0.53368,0.3479,1.04206,10.0209,1.24448,0.000160938,0.000160938,0.000160938
12,14552.7,0.97728,0.75069,1.22447,0.66178,0.51553,0.55567,0.3616,1.04847,9.63116,1.25507,0.000108613,0.000108613,0.000108613
13,15145.4,0.94957,0.70503,1.20653,0.68551,0.51562,0.55816,0.36626,1.03374,10.3,1.241,6.53354e-05,6.53354e-05,6.53354e-05
14,16569.7,0.92903,0.67744,1.19246,0.6943,0.51623,0.56381,0.37237,1.02321,10.4476,1.2309,3.29969e-05,3.29969e-05,3.29969e-05
15,17494.4,0.91794,0.66158,1.18513,0.68253,0.53172,0.56693,0.37413,1.02125,10.5834,1.23069,1.30106e-05,1.30106e-05,1.30106e-05
